Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-3q16,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: ShowProgressBar,Spreadsheet: VERB,Spreadsheet: _,Spreadsheet: NUM,Spreadsheet: NOUN,Spreadsheet: _01,Spreadsheet: _02,Spreadsheet: _BLOT,Spreadsheet: AlienCountA,Spreadsheet: AlienCountB,Spreadsheet: TextResponseA,Spreadsheet: AlienTestCount03,Spreadsheet: Test01Option01,Spreadsheet: Test01Option02,Spreadsheet: Train02Picture01,Spreadsheet: Train02Picture02,Spreadsheet: TextTraining02,Spreadsheet: Test02Picture01,Spreadsheet: Test02Option01,Spreadsheet: Test02Option02,Spreadsheet: ,Spreadsheet: TestCorrectAnswer,Spreadsheet: Age,Spreadsheet: Gender,Spreadsheet: Handedness,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
11,1685030147928,25/05/2023 15:55:47,1685033747928,1,25/05/2023 17:55:47,128616,14,task-m73r,,29725464,629e17977226dc42eac5d546,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Noun-Number Training,27,Dual-Plural,Noun Number Training,1,Instructions01,Instructions7,rts1od,7,response,Right-handed,6102.683999999999,6352.794,6369.467999999999,6102.683999999999,6352.794,6369.467999999999,1,6102.683999999999,266.78399999999965,0,,Dropdown,Handedness,7,object-156,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1685030148816,25/05/2023 15:55:48,1685033748816,1,25/05/2023 17:55:48,128616,14,task-m73r,,29725464,629e17977226dc42eac5d546,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Noun-Number Training,27,Dual-Plural,Noun Number Training,1,Instructions01,Instructions8,q3gk2e,8,continue,,906.5280000022358,900.3960000000006,906.5280000022358,906.5280000022358,900.3960000000006,906.5280000022358,1,906.5280000022358,0,0,,Click To Continue,Continue Button,2,object-75,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1685030155800,25/05/2023 15:55:55,1685033755800,1,25/05/2023 17:55:55,128616,14,task-m73r,,29725464,629e17977226dc42eac5d546,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Noun-Number Training,27,Dual-Plural,Noun Number Training,1,Training01,Training01,34efq7,1,response,DREETI,3675.798999999999,6977.251,6990.232,3675.798999999999,6977.251,6990.232,1,3675.798999999999,3314.433000000001,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,1, ,,,,DREE,_01.png,_02.png,,DREE_TI_01.png,DREE_TI_02.png,DREETI,,,,,,,,,,,,,,,,,,
14,1685030161724,25/05/2023 15:56:01,1685033761724,1,25/05/2023 17:56:01,128616,14,task-m73r,,29725464,629e17977226dc42eac5d546,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Noun-Number Training,27,Dual-Plural,Noun Number Training,2,Training01,Training01,34efq7,1,response,Blarta,1500.6599999999999,5929.522000000001,5936.58100000149,1500.6599999999999,5929.522000000001,5936.58100000149,0,1500.6599999999999,4435.92100000149,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,1,,,,,BLAR,_01.png,_02.png,,BLAR_TA_01.png,BLAR_TA_02.png,BLARTA,,,,,,,,,,,,,,,,,,
15,1685030171242,25/05/2023 15:56:11,1685033771242,1,25/05/2023 17:56:11,128616,14,task-m73r,,29725464,629e17977226dc42eac5d546,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Noun-Number Training,27,Dual-Plural,Noun Number Training,2,Training01,Training01,34efq7,1,response,BLARTA,1500.6599999999999,15450.375999999997,15454.481,1500.6599999999999,15450.375999999997,15454.481,1,1500.6599999999999,13953.821,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,1,,,,,BLAR,_01.png,_02.png,,BLAR_TA_01.png,BLAR_TA_02.png,BLARTA,,,,,,,,,,,,,,,,,,
16,1685030175975,25/05/2023 15:56:15,1685033775975,1,25/05/2023 17:56:15,128616,14,task-m73r,,29725464,629e17977226dc42eac5d546,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Noun-Number Training,27,Dual-Plural,Noun Number Training,3,Training01,Training01,34efq7,1,response,PHAITI,1597.5,4732.212000000007,4736.705000001493,1597.5,4732.212000000007,4736.705000001493,1,1597.5,3139.2050000014933,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,1, ,,,,PHAI,_01.png,_02.png,,PHAI_TI_01.png,PHAI_TI_02.png,PHAITI,,,,,,,,,,,,,,,,,,
17,1685030186355,25/05/2023 15:56:26,1685033786355,1,25/05/2023 17:56:26,128616,14,task-m73r,,29725464,629e17977226dc42eac5d546,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Noun-Number Training,27,Dual-Plural,Noun Number Training,4,Training01,Training01,34efq7,1,response,SNURTU,1133.8319999999949,10366.937999999995,10383.611999999994,1133.8319999999949,10366.937999999995,10383.611999999994,1,1133.8319999999949,9249.779999999999,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,1, ,,,,SNUR,_01.png,_02.png,,SNUR_TU_01.png,SNUR_TU_02.png,SNURTU,,,,,,,,,,,,,,,,,,
18,1685030190807,25/05/2023 15:56:30,1685033790807,1,25/05/2023 17:56:30,128616,14,task-m73r,,29725464,629e17977226dc42eac5d546,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Noun-Number Training,27,Dual-Plural,Noun Number Training,5,Training01,Training01,34efq7,1,response,STOOTA,1067.1359999999986,4451.957999999999,4468.631999999998,1067.1359999999986,4451.957999999999,4468.631999999998,1,1067.1359999999986,3401.495999999999,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,1, ,,,,STOO,_01.png,_02.png,,STOO_TA_01.png,STOO_TA_02.png,STOOTA,,,,,,,,,,,,,,,,,,
19,1685030196529,25/05/2023 15:56:36,1685033796529,1,25/05/2023 17:56:36,128616,14,task-m73r,,29725464,629e17977226dc42eac5d546,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Noun-Number Training,27,Dual-Plural,Noun Number Training,6,Training01,Training01,34efq7,1,response,CHORTU,1368.089,5720.002999999997,5736.676999999996,1368.089,5720.002999999997,5736.676999999996,1,1368.089,4368.587999999996,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,1, ,,,,CHOR,_01.png,_02.png,,CHOR_TU_01.png,CHOR_TU_02.png,CHORTU,,,,,,,,,,,,,,,,,,
20,1685030204017,25/05/2023 15:56:44,1685033804017,1,25/05/2023 17:56:44,128616,14,task-m73r,,29725464,629e17977226dc42eac5d546,8844144,,complete,,646f92f721206baefb76ef5c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1280x800,1280x610,,Noun-Number Training,27,Dual-Plural,Noun Number Training,7,Training01,Training01,34efq7,1,response,BLARTU,1233.8760000000038,7492.665000000008,7506.994000000006,1233.8760000000038,7492.665000000008,7506.994000000006,1,1233.8760000000038,6273.118000000002,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,2, ,,,,BLAR,_01.png,_02.png,,BLAR_TU_01.png,BLAR_TU_02.png,BLARTU,,,,,,,,,,,,,,,,,,
