Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-3q16,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: ShowProgressBar,Spreadsheet: VERB,Spreadsheet: _,Spreadsheet: NUM,Spreadsheet: NOUN,Spreadsheet: _01,Spreadsheet: _02,Spreadsheet: _BLOT,Spreadsheet: AlienCountA,Spreadsheet: AlienCountB,Spreadsheet: TextResponseA,Spreadsheet: AlienTestCount03,Spreadsheet: Test01Option01,Spreadsheet: Test01Option02,Spreadsheet: Train02Picture01,Spreadsheet: Train02Picture02,Spreadsheet: TextTraining02,Spreadsheet: Test02Picture01,Spreadsheet: Test02Option01,Spreadsheet: Test02Option02,Spreadsheet: ,Spreadsheet: TestCorrectAnswer,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
4,1685177689504,27/05/2023 08:54:49,1685181289504,1,27/05/2023 10:54:49,128616,14,task-y6qa,,29752073,604e8970624f793b1b0ab7f5,8854010,,complete,,6471d29ccd86271f9b8da8f5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1470x956,1470x841,,Singular-Dual Training,3,Singular-Dual,Singular Dual Training,1,Training,Training,34efq7,1,response,GOIKO DREETI!,3100.283,16816.787,16832.900000190733,3100.283,16816.787,16832.900000190733,1,3100.283,13732.617000190734,0,,Single Text Entry,TextTraining02,4,object-97,Training,,1, ,GOI,_,KO,DREE,_01.png,_02.png,,,,,,,,GOI_KO_DREE_TI_01.png,GOI_KO_DREE_TI_02.png,GOIKO DREETI!,,,,,,,,,
5,1685177699676,27/05/2023 08:54:59,1685181299676,1,27/05/2023 10:54:59,128616,14,task-y6qa,,29752073,604e8970624f793b1b0ab7f5,8854010,,complete,,6471d29ccd86271f9b8da8f5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1470x956,1470x841,,Singular-Dual Training,3,Singular-Dual,Singular Dual Training,2,Training,Training,34efq7,1,response,GOIKE SNURTU!,1799.9279999999999,10166.661,10183.327000000001,1799.9279999999999,10166.661,10183.327000000001,1,1799.9279999999999,8383.399000000001,0,,Single Text Entry,TextTraining02,4,object-97,Training,,1, ,GOI,_,KE,SNUR,_01.png,_02.png,,,,,,,,GOI_KE_SNUR_TU_01.png,GOI_KE_SNUR_TU_02.png,GOIKE SNURTU!,,,,,,,,,
6,1685177705682,27/05/2023 08:55:05,1685181305682,1,27/05/2023 10:55:05,128616,14,task-y6qa,,29752073,604e8970624f793b1b0ab7f5,8854010,,complete,,6471d29ccd86271f9b8da8f5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1470x956,1470x841,,Singular-Dual Training,3,Singular-Dual,Singular Dual Training,3,Training,Training,34efq7,1,response,PAUKO STOOTI!,1616.601999999999,6016.812999999998,6027.752000143049,1616.601999999999,6016.812999999998,6027.752000143049,1,1616.601999999999,4411.15000014305,0,,Single Text Entry,TextTraining02,4,object-97,Training,,1, ,PAU,_,KO,STOO,_01.png,_02.png,,,,,,,,PAU_KO_STOO_TI_01.png,PAU_KO_STOO_TI_02.png,PAUKO STOOTI!,,,,,,,,,
7,1685177713847,27/05/2023 08:55:13,1685181313847,1,27/05/2023 10:55:13,128616,14,task-y6qa,,29752073,604e8970624f793b1b0ab7f5,8854010,,complete,,6471d29ccd86271f9b8da8f5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1470x956,1470x841,,Singular-Dual Training,3,Singular-Dual,Singular Dual Training,4,Training,Training,34efq7,1,response,PAUKE PHAITA!,1399.9440000000031,8166.722999999998,8175.139000190735,1399.9440000000031,8166.722999999998,8175.139000190735,1,1399.9440000000031,6775.195000190732,0,,Single Text Entry,TextTraining02,4,object-97,Training,,1, ,PAU,_,KE,PHAI,_01.png,_02.png,,,,,,,,PAU_KE_PHAI_TA_01.png,PAU_KE_PHAI_TA_02.png,PAUKE PHAITA!,,,,,,,,,
8,1685177723115,27/05/2023 08:55:23,1685181323115,1,27/05/2023 10:55:23,128616,14,task-y6qa,,29752073,604e8970624f793b1b0ab7f5,8854010,,complete,,6471d29ccd86271f9b8da8f5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1470x956,1470x841,,Singular-Dual Training,3,Singular-Dual,Singular Dual Training,5,Training,Training,34efq7,1,response,PAUKE CHORTU!,1299.948000000004,9266.296000000002,9276.51600009537,1299.948000000004,9266.296000000002,9276.51600009537,1,1299.948000000004,7976.568000095365,0,,Single Text Entry,TextTraining02,4,object-97,Training,,1, ,PAU,_,KE,CHOR,_01.png,_02.png,,,,,,,,PAU_KE_CHOR_TU_01.png,PAU_KE_CHOR_TU_02.png,PAUKE CHORTU!,,,,,,,,,
9,1685177732010,27/05/2023 08:55:32,1685181332010,1,27/05/2023 10:55:32,128616,14,task-y6qa,,29752073,604e8970624f793b1b0ab7f5,8854010,,complete,,6471d29ccd86271f9b8da8f5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1470x956,1470x841,,Singular-Dual Training,3,Singular-Dual,Singular Dual Training,6,Training,Training,34efq7,1,response,GOIKE BLARTA!,3433.6010000000024,8900.048999999999,8905.82,3433.6010000000024,8900.048999999999,8905.82,1,3433.6010000000024,5472.218999999997,0,,Single Text Entry,TextTraining02,4,object-97,Training,,1, ,GOI,_,KE,BLAR,_01.png,_02.png,,,,,,,,GOI_KE_BLAR_TA_01.png,GOI_KE_BLAR_TA_02.png,GOIKE BLARTA!,,,,,,,,,
10,1685177737742,27/05/2023 08:55:37,1685181337742,1,27/05/2023 10:55:37,128616,14,task-y6qa,,29752073,604e8970624f793b1b0ab7f5,8854010,,complete,,6471d29ccd86271f9b8da8f5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1470x956,1470x841,,Singular-Dual Training,3,Singular-Dual,Singular Dual Training,7,Training,Training,34efq7,1,response,GOIKE STOOTA!,1416.6100000000006,5716.822000000007,5733.488000000019,1416.6100000000006,5716.822000000007,5733.488000000019,1,1416.6100000000006,4316.878000000019,0,,Single Text Entry,TextTraining02,4,object-97,Training,,2, ,GOI,_,KE,STOO,_01.png,_02.png,,,,,,,,GOI_KE_STOO_TA_01.png,GOI_KE_STOO_TA_02.png,GOIKE STOOTA!,,,,,,,,,
11,1685177748481,27/05/2023 08:55:48,1685181348481,1,27/05/2023 10:55:48,128616,14,task-y6qa,,29752073,604e8970624f793b1b0ab7f5,8854010,,complete,,6471d29ccd86271f9b8da8f5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1470x956,1470x841,,Singular-Dual Training,3,Singular-Dual,Singular Dual Training,8,Training,Training,34efq7,1,response,GOIKE PHAITU!,1499.9399999999878,10749.569999999992,10759.448999999993,1499.9399999999878,10749.569999999992,10759.448999999993,1,1499.9399999999878,9259.509000000005,0,,Single Text Entry,TextTraining02,4,object-97,Training,,2, ,GOI,_,KE,PHAI,_01.png,_02.png,,,,,,,,GOI_KE_PHAI_TU_01.png,GOI_KE_PHAI_TU_02.png,GOIKE PHAITU!,,,,,,,,,
12,1685177756129,27/05/2023 08:55:56,1685181356129,1,27/05/2023 10:55:56,128616,14,task-y6qa,,29752073,604e8970624f793b1b0ab7f5,8854010,,complete,,6471d29ccd86271f9b8da8f5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1470x956,1470x841,,Singular-Dual Training,3,Singular-Dual,Singular Dual Training,9,Training,Training,34efq7,1,response,PAUKO SNURTI!,1633.2679999999964,7650.457999999999,7657.979000143052,1633.2679999999964,7650.457999999999,7657.979000143052,1,1633.2679999999964,6024.711000143056,0,,Single Text Entry,TextTraining02,4,object-97,Training,,2, ,PAU,_,KO,SNUR,_01.png,_02.png,,,,,,,,PAU_KO_SNUR_TI_01.png,PAU_KO_SNUR_TI_02.png,PAUKO SNURTI!,,,,,,,,,
13,1685177764756,27/05/2023 08:56:04,1685181364756,1,27/05/2023 10:56:04,128616,14,task-y6qa,,29752073,604e8970624f793b1b0ab7f5,8854010,,complete,,6471d29ccd86271f9b8da8f5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1470x956,1470x841,,Singular-Dual Training,3,Singular-Dual,Singular Dual Training,10,Training,Training,34efq7,1,response,PAUIKE BLARTU!,1266.616000000009,8616.741999999998,8633.407999999996,1266.616000000009,8616.741999999998,8633.407999999996,0,1266.616000000009,7366.791999999987,0,,Single Text Entry,TextTraining02,4,object-97,Training,,2, ,PAU,_,KE,BLAR,_01.png,_02.png,,,,,,,,PAU_KE_BLAR_TU_01.png,PAU_KE_BLAR_TU_02.png,PAUKE BLARTU!,,,,,,,,,
14,1685177770864,27/05/2023 08:56:10,1685181370864,1,27/05/2023 10:56:10,128616,14,task-y6qa,,29752073,604e8970624f793b1b0ab7f5,8854010,,complete,,6471d29ccd86271f9b8da8f5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1470x956,1470x841,,Singular-Dual Training,3,Singular-Dual,Singular Dual Training,10,Training,Training,34efq7,1,response,PAUKE BLARTU!,1266.616000000009,14733.164000000004,14743.221000190737,1266.616000000009,14733.164000000004,14743.221000190737,1,1266.616000000009,13476.605000190728,0,,Single Text Entry,TextTraining02,4,object-97,Training,,2, ,PAU,_,KE,BLAR,_01.png,_02.png,,,,,,,,PAU_KE_BLAR_TU_01.png,PAU_KE_BLAR_TU_02.png,PAUKE BLARTU!,,,,,,,,,
15,1685177776829,27/05/2023 08:56:16,1685181376829,1,27/05/2023 10:56:16,128616,14,task-y6qa,,29752073,604e8970624f793b1b0ab7f5,8854010,,complete,,6471d29ccd86271f9b8da8f5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1470x956,1470x841,,Singular-Dual Training,3,Singular-Dual,Singular Dual Training,11,Training,Training,34efq7,1,response,PAUKE DREETA!,1266.6159999999945,5966.809999999998,5975.157000095365,1266.6159999999945,5966.809999999998,5975.157000095365,1,1266.6159999999945,4708.541000095371,0,,Single Text Entry,TextTraining02,4,object-97,Training,,2, ,PAU,_,KE,DREE,_01.png,_02.png,,,,,,,,PAU_KE_DREE_TA_01.png,PAU_KE_DREE_TA_02.png,PAUKE DREETA!,,,,,,,,,
16,1685177782311,27/05/2023 08:56:22,1685181382311,1,27/05/2023 10:56:22,128616,14,task-y6qa,,29752073,604e8970624f793b1b0ab7f5,8854010,,complete,,6471d29ccd86271f9b8da8f5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1470x956,1470x841,,Singular-Dual Training,3,Singular-Dual,Singular Dual Training,12,Training,Training,34efq7,1,response,GOIKO CHORTI!,1833.2599999999948,5483.114000000001,5490.047000143051,1833.2599999999948,5483.114000000001,5490.047000143051,1,1833.2599999999948,3656.7870001430565,0,,Single Text Entry,TextTraining02,4,object-97,Training,,2, ,GOI,_,KO,CHOR,_01.png,_02.png,,,,,,,,GOI_KO_CHOR_TI_01.png,GOI_KO_CHOR_TI_02.png,GOIKO CHORTI!,,,,,,,,,
17,1685177788299,27/05/2023 08:56:28,1685181388299,1,27/05/2023 10:56:28,128616,14,task-y6qa,,29752073,604e8970624f793b1b0ab7f5,8854010,,complete,,6471d29ccd86271f9b8da8f5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1470x956,1470x841,,Singular-Dual Training,3,Singular-Dual,Singular Dual Training,13,Training,Training,34efq7,1,response,PAUKE STOOTU!,1416.6100000000006,5983.476999999999,5995.033000047682,1416.6100000000006,5983.476999999999,5995.033000047682,1,1416.6100000000006,4578.423000047682,0,,Single Text Entry,TextTraining02,4,object-97,Training,,3, ,PAU,_,KE,STOO,_01.png,_02.png,,,,,,,,PAU_KE_STOO_TU_01.png,PAU_KE_STOO_TU_02.png,PAUKE STOOTU!,,,,,,,,,
18,1685177794450,27/05/2023 08:56:34,1685181394450,1,27/05/2023 10:56:34,128616,14,task-y6qa,,29752073,604e8970624f793b1b0ab7f5,8854010,,complete,,6471d29ccd86271f9b8da8f5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1470x956,1470x841,,Singular-Dual Training,3,Singular-Dual,Singular Dual Training,14,Training,Training,34efq7,1,response,PAUKE CHORTA!,1699.9320000000007,6149.754000000001,6162.656000190735,1699.9320000000007,6149.754000000001,6162.656000190735,1,1699.9320000000007,4462.724000190734,0,,Single Text Entry,TextTraining02,4,object-97,Training,,3, ,PAU,_,KE,CHOR,_01.png,_02.png,,,,,,,,PAU_KE_CHOR_TA_01.png,PAU_KE_CHOR_TA_02.png,PAUKE CHORTA!,,,,,,,,,
19,1685177807830,27/05/2023 08:56:47,1685181407830,1,27/05/2023 10:56:47,128616,14,task-y6qa,,29752073,604e8970624f793b1b0ab7f5,8854010,,complete,,6471d29ccd86271f9b8da8f5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1470x956,1470x841,,Singular-Dual Training,3,Singular-Dual,Singular Dual Training,15,Training,Training,34efq7,1,response,PAUKO PHAITI!,1317.0179999999964,13383.593000000008,13392.601999999999,1317.0179999999964,13383.593000000008,13392.601999999999,1,1317.0179999999964,12075.584000000003,0,,Single Text Entry,TextTraining02,4,object-97,Training,,3, ,PAU,_,KO,PHAI,_01.png,_02.png,,,,,,,,PAU_KO_PHAI_TI_01.png,PAU_KO_PHAI_TI_02.png,PAUKO PHAITI!,,,,,,,,,
20,1685177814449,27/05/2023 08:56:54,1685181414449,1,27/05/2023 10:56:54,128616,14,task-y6qa,,29752073,604e8970624f793b1b0ab7f5,8854010,,complete,,6471d29ccd86271f9b8da8f5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1470x956,1470x841,,Singular-Dual Training,3,Singular-Dual,Singular Dual Training,16,Training,Training,34efq7,1,response,GOIKE DREETU!,1766.5959999999905,6616.402000000002,6628.409000095358,1766.5959999999905,6616.402000000002,6628.409000095358,1,1766.5959999999905,4861.813000095368,0,,Single Text Entry,TextTraining02,4,object-97,Training,,3, ,GOI,_,KE,DREE,_01.png,_02.png,,,,,,,,GOI_KE_DREE_TU_01.png,GOI_KE_DREE_TU_02.png,GOIKE DREETU!,,,,,,,,,
21,1685177824533,27/05/2023 08:57:04,1685181424533,1,27/05/2023 10:57:04,128616,14,task-y6qa,,29752073,604e8970624f793b1b0ab7f5,8854010,,complete,,6471d29ccd86271f9b8da8f5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1470x956,1470x841,,Singular-Dual Training,3,Singular-Dual,Singular Dual Training,17,Training,Training,34efq7,1,response,GOIKO BLARTI!,3267.0229999999865,10083.416999999987,10095.606999999989,3267.0229999999865,10083.416999999987,10095.606999999989,1,3267.0229999999865,6828.584000000003,0,,Single Text Entry,TextTraining02,4,object-97,Training,,3, ,GOI,_,KO,BLAR,_01.png,_02.png,,,,,,,,GOI_KO_BLAR_TI_01.png,GOI_KO_BLAR_TI_02.png,GOIKO BLARTI!,,,,,,,,,
22,1685177830016,27/05/2023 08:57:10,1685181430016,1,27/05/2023 10:57:10,128616,14,task-y6qa,,29752073,604e8970624f793b1b0ab7f5,8854010,,complete,,6471d29ccd86271f9b8da8f5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1470x956,1470x841,,Singular-Dual Training,3,Singular-Dual,Singular Dual Training,18,Training,Training,34efq7,1,response,GOIKR SNURTA!,1266.616000000009,5483.497000000003,5495.490000190737,1266.616000000009,5483.497000000003,5495.490000190737,0,1266.616000000009,4228.874000190728,0,,Single Text Entry,TextTraining02,4,object-97,Training,,3, ,GOI,_,KE,SNUR,_01.png,_02.png,,,,,,,,GOI_KE_SNUR_TA_01.png,GOI_KE_SNUR_TA_02.png,GOIKE SNURTA!,,,,,,,,,
23,1685177834927,27/05/2023 08:57:14,1685181434927,1,27/05/2023 10:57:14,128616,14,task-y6qa,,29752073,604e8970624f793b1b0ab7f5,8854010,,complete,,6471d29ccd86271f9b8da8f5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1470x956,1470x841,,Singular-Dual Training,3,Singular-Dual,Singular Dual Training,18,Training,Training,34efq7,1,response,GOIKE SNURTA!,1266.616000000009,10399.967000000004,10406.09000009537,1266.616000000009,10399.967000000004,10406.09000009537,1,1266.616000000009,9139.47400009536,0,,Single Text Entry,TextTraining02,4,object-97,Training,,3, ,GOI,_,KE,SNUR,_01.png,_02.png,,,,,,,,GOI_KE_SNUR_TA_01.png,GOI_KE_SNUR_TA_02.png,GOIKE SNURTA!,,,,,,,,,
24,1685177842212,27/05/2023 08:57:22,1685181442212,1,27/05/2023 10:57:22,128616,14,task-y6qa,,29752073,604e8970624f793b1b0ab7f5,8854010,,complete,,6471d29ccd86271f9b8da8f5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1470x956,1470x841,,Singular-Dual Training,3,Singular-Dual,Singular Dual Training,19,Training,Training,34efq7,1,response,PAUKO BLARTI!,1299.948000000004,7283.431000000011,7291.023000190733,1299.948000000004,7283.431000000011,7291.023000190733,1,1299.948000000004,5991.075000190729,0,,Single Text Entry,TextTraining02,4,object-97,Training,,4, ,PAU,_,KO,BLAR,_01.png,_02.png,,,,,,,,PAU_KO_BLAR_TI_01.png,PAU_KO_BLAR_TI_02.png,PAUKO BLARTI!,,,,,,,,,
