Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: ShowProgressBar,Spreadsheet: VERB,Spreadsheet: _,Spreadsheet: NUM,Spreadsheet: NOUN,Spreadsheet: _01,Spreadsheet: _02,Spreadsheet: _BLOT,Spreadsheet: AlienCountA,Spreadsheet: AlienCountB,Spreadsheet: TextResponseA,Spreadsheet: AlienTestCount03,Spreadsheet: Test01Option01,Spreadsheet: Test01Option02,Spreadsheet: Train02Picture01,Spreadsheet: Train02Picture02,Spreadsheet: TextTraining02,Spreadsheet: Test02Picture01,Spreadsheet: Test02Option01,Spreadsheet: Test02Option02,Spreadsheet: ,Spreadsheet: TestCorrectAnswer,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
11,1686658478820,13/06/2023 12:14:38,1686662078820,1,13/06/2023 14:14:38,136362,2,task-kdv5,,30033769,5aead7e42ef8f800014af4a5,8944436,,complete,,64886a1d2a3e51145606d976,computer,Desktop or Laptop,Windows 10,Firefox 113.0,1920x1080,1920x927,,Singular-Plural Training (Clone),1,Singular Plural Training,7,Training,Training,34efq7,1,response,GOIKE CHORTI!,2652.6399999999994,6873.479999999996,6886.080000000002,2652.6399999999994,6873.479999999996,6886.080000000002,1,2652.6399999999994,4233.440000000002,0,,Single Text Entry,TextTraining02,4,object-97,Training,,2, ,GOI,_,KE,CHOR,_01.png,_02.png,,,,,,,,GOI_KE_CHOR_TI_01.png,GOI_KE_CHOR_TI_02.png,GOIKE CHORTI!,,,,,,,,,
12,1686658486164,13/06/2023 12:14:46,1686662086164,1,13/06/2023 14:14:46,136362,2,task-kdv5,,30033769,5aead7e42ef8f800014af4a5,8944436,,complete,,64886a1d2a3e51145606d976,computer,Desktop or Laptop,Windows 10,Firefox 113.0,1920x1080,1920x927,,Singular-Plural Training (Clone),1,Singular Plural Training,8,Training,Training,34efq7,1,response,GOIKE STOOTA!,2285.62000000001,7340.62000000001,7356.600000000006,2285.62000000001,7340.62000000001,7356.600000000006,1,2285.62000000001,5070.979999999996,0,,Single Text Entry,TextTraining02,4,object-97,Training,,2, ,GOI,_,KE,STOO,_01.png,_02.png,,,,,,,,GOI_KE_STOO_TA_01.png,GOI_KE_STOO_TA_02.png,GOIKE STOOTA!,,,,,,,,,
13,1686658496008,13/06/2023 12:14:56,1686662096008,1,13/06/2023 14:14:56,136362,2,task-kdv5,,30033769,5aead7e42ef8f800014af4a5,8944436,,complete,,64886a1d2a3e51145606d976,computer,Desktop or Laptop,Windows 10,Firefox 113.0,1920x1080,1920x927,,Singular-Plural Training (Clone),1,Singular Plural Training,9,Training,Training,34efq7,1,response,GOIKO PHAITU!,4454.440000000002,9843.099999999991,9859.799999999988,4454.440000000002,9843.099999999991,9859.799999999988,1,4454.440000000002,5405.359999999986,0,,Single Text Entry,TextTraining02,4,object-97,Training,,2, ,GOI,_,KO,PHAI,_01.png,_02.png,,,,,,,,GOI_KO_PHAI_TU_01.png,GOI_KO_PHAI_TU_02.png,GOIKO PHAITU!,,,,,,,,,
14,1686658504822,13/06/2023 12:15:04,1686662104822,1,13/06/2023 14:15:04,136362,2,task-kdv5,,30033769,5aead7e42ef8f800014af4a5,8944436,,complete,,64886a1d2a3e51145606d976,computer,Desktop or Laptop,Windows 10,Firefox 113.0,1920x1080,1920x927,,Singular-Plural Training (Clone),1,Singular Plural Training,10,Training,Training,34efq7,1,response,PAUKE DREETA!,2419.0599999999977,8825.340000000011,8830.880000000005,2419.0599999999977,8825.340000000011,8830.880000000005,1,2419.0599999999977,6411.820000000007,0,,Single Text Entry,TextTraining02,4,object-97,Training,,2, ,PAU,_,KE,DREE,_01.png,_02.png,,,,,,,,PAU_KE_DREE_TA_01.png,PAU_KE_DREE_TA_02.png,PAUKE DREETA!,,,,,,,,,
15,1686658516437,13/06/2023 12:15:16,1686662116437,1,13/06/2023 14:15:16,136362,2,task-kdv5,,30033769,5aead7e42ef8f800014af4a5,8944436,,complete,,64886a1d2a3e51145606d976,computer,Desktop or Laptop,Windows 10,Firefox 113.0,1920x1080,1920x927,,Singular-Plural Training (Clone),1,Singular Plural Training,11,Training,Training,34efq7,1,response,PAUKO BLARTU!,3970.6199999999953,11611.599999999991,11620.539999999994,3970.6199999999953,11611.599999999991,11620.539999999994,1,3970.6199999999953,7649.919999999998,0,,Single Text Entry,TextTraining02,4,object-97,Training,,2, ,PAU,_,KO,BLAR,_01.png,_02.png,,,,,,,,PAU_KO_BLAR_TU_01.png,PAU_KO_BLAR_TU_02.png,PAUKO BLARTU!,,,,,,,,,
16,1686658525451,13/06/2023 12:15:25,1686662125451,1,13/06/2023 14:15:25,136362,2,task-kdv5,,30033769,5aead7e42ef8f800014af4a5,8944436,,complete,,64886a1d2a3e51145606d976,computer,Desktop or Laptop,Windows 10,Firefox 113.0,1920x1080,1920x927,,Singular-Plural Training (Clone),1,Singular Plural Training,12,Training,Training,34efq7,1,response,PAUKE SNURTI!,2902.8800000000047,9008.899999999994,9022.940000000002,2902.8800000000047,9008.899999999994,9022.940000000002,1,2902.8800000000047,6120.059999999998,0,,Single Text Entry,TextTraining02,4,object-97,Training,,2, ,PAU,_,KE,SNUR,_01.png,_02.png,,,,,,,,PAU_KE_SNUR_TI_01.png,PAU_KE_SNUR_TI_02.png,PAUKE SNURTI!,,,,,,,,,
17,1686658533225,13/06/2023 12:15:33,1686662133225,1,13/06/2023 14:15:33,136362,2,task-kdv5,,30033769,5aead7e42ef8f800014af4a5,8944436,,complete,,64886a1d2a3e51145606d976,computer,Desktop or Laptop,Windows 10,Firefox 113.0,1920x1080,1920x927,,Singular-Plural Training (Clone),1,Singular Plural Training,13,Training,Training,34efq7,1,response,GOIKO DREETU!,2218.8800000000047,7774.380000000005,7787.040000000008,2218.8800000000047,7774.380000000005,7787.040000000008,1,2218.8800000000047,5568.1600000000035,0,,Single Text Entry,TextTraining02,4,object-97,Training,,3, ,GOI,_,KO,DREE,_01.png,_02.png,,,,,,,,GOI_KO_DREE_TU_01.png,GOI_KO_DREE_TU_02.png,GOIKO DREETU!,,,,,,,,,
18,1686658539939,13/06/2023 12:15:39,1686662139939,1,13/06/2023 14:15:39,136362,2,task-kdv5,,30033769,5aead7e42ef8f800014af4a5,8944436,,complete,,64886a1d2a3e51145606d976,computer,Desktop or Laptop,Windows 10,Firefox 113.0,1920x1080,1920x927,,Singular-Plural Training (Clone),1,Singular Plural Training,14,Training,Training,34efq7,1,response,PAUKE CHORTA!,1701.7000000000116,6723.380000000005,6727.6600000000035,1701.7000000000116,6723.380000000005,6727.6600000000035,1,1701.7000000000116,5025.959999999992,0,,Single Text Entry,TextTraining02,4,object-97,Training,,3, ,PAU,_,KE,CHOR,_01.png,_02.png,,,,,,,,PAU_KE_CHOR_TA_01.png,PAU_KE_CHOR_TA_02.png,PAUKE CHORTA!,,,,,,,,,
19,1686658551162,13/06/2023 12:15:51,1686662151162,1,13/06/2023 14:15:51,136362,2,task-kdv5,,30033769,5aead7e42ef8f800014af4a5,8944436,,complete,,64886a1d2a3e51145606d976,computer,Desktop or Laptop,Windows 10,Firefox 113.0,1920x1080,1920x927,,Singular-Plural Training (Clone),1,Singular Plural Training,15,Training,Training,34efq7,1,response,PAUKO STOOTU!,2619.220000000001,11211.119999999995,11227.279999999999,2619.220000000001,11211.119999999995,11227.279999999999,1,2619.220000000001,8608.059999999998,0,,Single Text Entry,TextTraining02,4,object-97,Training,,3, ,PAU,_,KO,STOO,_01.png,_02.png,,,,,,,,PAU_KO_STOO_TU_01.png,PAU_KO_STOO_TU_02.png,PAUKO STOOTU!,,,,,,,,,
20,1686658562427,13/06/2023 12:16:02,1686662162427,1,13/06/2023 14:16:02,136362,2,task-kdv5,,30033769,5aead7e42ef8f800014af4a5,8944436,,complete,,64886a1d2a3e51145606d976,computer,Desktop or Laptop,Windows 10,Firefox 113.0,1920x1080,1920x927,,Singular-Plural Training (Clone),1,Singular Plural Training,16,Training,Training,34efq7,1,response,GOIKE SNURTA!,1851.8000000000175,11277.839999999997,11281.160000000003,1851.8000000000175,11277.839999999997,11281.160000000003,1,1851.8000000000175,9429.359999999986,0,,Single Text Entry,TextTraining02,4,object-97,Training,,3, ,GOI,_,KE,SNUR,_01.png,_02.png,,,,,,,,GOI_KE_SNUR_TA_01.png,GOI_KE_SNUR_TA_02.png,GOIKE SNURTA!,,,,,,,,,
