Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: ShowProgressBar,Spreadsheet: VERB,Spreadsheet: _,Spreadsheet: NUM,Spreadsheet: NOUN,Spreadsheet: _01,Spreadsheet: _02,Spreadsheet: _BLOT,Spreadsheet: AlienCountA,Spreadsheet: AlienCountB,Spreadsheet: TextResponseA,Spreadsheet: AlienTestCount03,Spreadsheet: Test01Option01,Spreadsheet: Test01Option02,Spreadsheet: Train02Picture01,Spreadsheet: Train02Picture02,Spreadsheet: TextTraining02,Spreadsheet: Test02Picture01,Spreadsheet: Test02Option01,Spreadsheet: Test02Option02,Spreadsheet: ,Spreadsheet: CorrectAnswer,Spreadsheet: TestCorrectAnswer,Manipulation: Spreadsheet,Store: correct,Store: total
1,1686657551471,13/06/2023 11:59:11,1686661151471,1,13/06/2023 13:59:11,136362,2,task-pfy5,,30033347,5b9118ad2f7c0c000181e6dc,8944361,,complete,,6488672e23ebde9ddf55dad3,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1600x900,1600x789,,Noun-Number Testing (Clone),1,Noun Number Testing,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1686657560258,13/06/2023 11:59:20,1686661160258,1,13/06/2023 13:59:20,136362,2,task-pfy5,,30033347,5b9118ad2f7c0c000181e6dc,8944361,,complete,,6488672e23ebde9ddf55dad3,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1600x900,1600x789,,Noun-Number Testing (Clone),1,Noun Number Testing,1,Instructions02,Instructions02,g2b1f4,1,continue,,8843.459000095369,8836.081000000002,8843.459000095369,8843.459000095369,8836.081000000002,8843.459000095369,1,8843.459000095369,0,0,,Click To Continue,Continue Button,2,object-79,Instructions02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1686657562807,13/06/2023 11:59:22,1686661162807,1,13/06/2023 13:59:22,136362,2,task-pfy5,,30033347,5b9118ad2f7c0c000181e6dc,8944361,,complete,,6488672e23ebde9ddf55dad3,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1600x900,1600x789,,Noun-Number Testing (Clone),1,Noun Number Testing,1,Testing02,Testing 02,hvzr65,1,response,CHOR_TU_02.png,2556.7880000000005,2540.1219999999994,2556.7880000000005,2556.7880000000005,2540.1219999999994,2556.7880000000005,0,2556.7880000000005,0,0,,Click Response,ResponseA,3,object-86,Testing02,,1,,,_,TI,CHOR,_01.png,_02.png,,,,,CHOR_TI_01.png,CHOR_TU_02.png,CHOR_TI_02.png,,,,,,,,,CHOR_TI_02.png,,,
4,1686657565558,13/06/2023 11:59:25,1686661165558,1,13/06/2023 13:59:25,136362,2,task-pfy5,,30033347,5b9118ad2f7c0c000181e6dc,8944361,,complete,,6488672e23ebde9ddf55dad3,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1600x900,1600x789,,Noun-Number Testing (Clone),1,Noun Number Testing,2,Testing02,Testing 02,hvzr65,1,response,DREE_TA_02.png,2768.756000095367,2752.459999999999,2768.756000095367,2768.756000095367,2752.459999999999,2768.756000095367,1,2768.756000095367,0,0,,Click Response,ResponseB,4,object-85,Testing02,,1,,,_,TA,DREE,_01.png,_02.png,,,,,DREE_TA_01.png,DREE_TI_02.png,DREE_TA_02.png,,,,,,,,,DREE_TA_02.png,,,
5,1686657566985,13/06/2023 11:59:26,1686661166985,1,13/06/2023 13:59:26,136362,2,task-pfy5,,30033347,5b9118ad2f7c0c000181e6dc,8944361,,complete,,6488672e23ebde9ddf55dad3,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1600x900,1600x789,,Noun-Number Testing (Clone),1,Noun Number Testing,3,Testing02,Testing 02,hvzr65,1,response,STOO_TU_02.png,1442.6960000715262,1436.1090000000004,1442.6960000715262,1442.6960000715262,1436.1090000000004,1442.6960000715262,1,1442.6960000715262,0,0,,Click Response,ResponseB,4,object-85,Testing02,,1,,,_,TU,STOO,_01.png,_02.png,,,,,STOO_TU_01.png,STOO_TA_02.png,STOO_TU_02.png,,,,,,,,,STOO_TU_02.png,,,
6,1686657568456,13/06/2023 11:59:28,1686661168456,1,13/06/2023 13:59:28,136362,2,task-pfy5,,30033347,5b9118ad2f7c0c000181e6dc,8944361,,complete,,6488672e23ebde9ddf55dad3,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1600x900,1600x789,,Noun-Number Testing (Clone),1,Noun Number Testing,4,Testing02,Testing 02,hvzr65,1,response,PHAI_TI_02.png,1477.2870000000003,1467.9900000000016,1477.2870000000003,1477.2870000000003,1467.9900000000016,1477.2870000000003,1,1477.2870000000003,0,0,,Click Response,ResponseA,3,object-86,Testing02,,1,,,_,TI,PHAI,_01.png,_02.png,,,,,PHAI_TI_01.png,PHAI_TI_02.png,PHAI_TA_02.png,,,,,,,,,PHAI_TI_02.png,,,
7,1686657569829,13/06/2023 11:59:29,1686661169829,1,13/06/2023 13:59:29,136362,2,task-pfy5,,30033347,5b9118ad2f7c0c000181e6dc,8944361,,complete,,6488672e23ebde9ddf55dad3,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1600x900,1600x789,,Noun-Number Testing (Clone),1,Noun Number Testing,5,Testing02,Testing 02,hvzr65,1,response,BLAR_TU_02.png,1382.5970000715242,1368.0649999999987,1382.5970000715242,1382.5970000715242,1368.0649999999987,1382.5970000715242,1,1382.5970000715242,0,0,,Click Response,ResponseA,3,object-86,Testing02,,1,,,_,TU,BLAR,_01.png,_02.png,,,,,BLAR_TU_01.png,BLAR_TU_02.png,BLAR_TI_02.png,,,,,,,,,BLAR_TU_02.png,,,
8,1686657571307,13/06/2023 11:59:31,1686661171307,1,13/06/2023 13:59:31,136362,2,task-pfy5,,30033347,5b9118ad2f7c0c000181e6dc,8944361,,complete,,6488672e23ebde9ddf55dad3,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1600x900,1600x789,,Noun-Number Testing (Clone),1,Noun Number Testing,6,Testing02,Testing 02,hvzr65,1,response,SNUR_TU_02.png,1493.1320000953674,1484.719000000001,1493.1320000953674,1493.1320000953674,1484.719000000001,1493.1320000953674,0,1493.1320000953674,0,0,,Click Response,ResponseB,4,object-85,Testing02,,1,,,_,TA,SNUR,_01.png,_02.png,,,,,SNUR_TA_01.png,SNUR_TA_02.png,SNUR_TU_02.png,,,,,,,,,SNUR_TA_02.png,,,
9,1686657574252,13/06/2023 11:59:34,1686661174252,1,13/06/2023 13:59:34,136362,2,task-pfy5,,30033347,5b9118ad2f7c0c000181e6dc,8944361,,complete,,6488672e23ebde9ddf55dad3,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1600x900,1600x789,,Noun-Number Testing (Clone),1,Noun Number Testing,7,Testing02,Testing 02,hvzr65,1,response,PHAI_TU_02.png,2951.3770000000004,2934.7109999999993,2951.3770000000004,2951.3770000000004,2934.7109999999993,2951.3770000000004,1,2951.3770000000004,0,0,,Click Response,ResponseB,4,object-85,Testing02,,2,,,_,TU,PHAI,_01.png,_02.png,,,,,PHAI_TU_01.png,PHAI_TI_02.png,PHAI_TU_02.png,,,,,,,,,PHAI_TU_02.png,,,
10,1686657576218,13/06/2023 11:59:36,1686661176218,1,13/06/2023 13:59:36,136362,2,task-pfy5,,30033347,5b9118ad2f7c0c000181e6dc,8944361,,complete,,6488672e23ebde9ddf55dad3,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1600x900,1600x789,,Noun-Number Testing (Clone),1,Noun Number Testing,8,Testing02,Testing 02,hvzr65,1,response,STOO_TU_02.png,1984.5020000476834,1969.6159999999982,1984.5020000476834,1984.5020000476834,1969.6159999999982,1984.5020000476834,0,1984.5020000476834,0,0,,Click Response,ResponseB,4,object-85,Testing02,,2,,,_,TI,STOO,_01.png,_02.png,,,,,STOO_TI_01.png,STOO_TI_02.png,STOO_TU_02.png,,,,,,,,,STOO_TI_02.png,,,
11,1686657577759,13/06/2023 11:59:37,1686661177759,1,13/06/2023 13:59:37,136362,2,task-pfy5,,30033347,5b9118ad2f7c0c000181e6dc,8944361,,complete,,6488672e23ebde9ddf55dad3,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1600x900,1600x789,,Noun-Number Testing (Clone),1,Noun Number Testing,9,Testing02,Testing 02,hvzr65,1,response,SNUR_TA_02.png,1551.811999999998,1535.1460000000006,1551.811999999998,1551.811999999998,1535.1460000000006,1551.811999999998,0,1551.811999999998,0,0,,Click Response,ResponseA,3,object-86,Testing02,,2,,,_,TI,SNUR,_01.png,_02.png,,,,,SNUR_TI_01.png,SNUR_TA_02.png,SNUR_TI_02.png,,,,,,,,,SNUR_TI_02.png,,,
12,1686657578955,13/06/2023 11:59:38,1686661178955,1,13/06/2023 13:59:38,136362,2,task-pfy5,,30033347,5b9118ad2f7c0c000181e6dc,8944361,,complete,,6488672e23ebde9ddf55dad3,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1600x900,1600x789,,Noun-Number Testing (Clone),1,Noun Number Testing,10,Testing02,Testing 02,hvzr65,1,response,CHOR_TA_02.png,1216.2400000476846,1201.5430000000015,1216.2400000476846,1216.2400000476846,1201.5430000000015,1216.2400000476846,1,1216.2400000476846,0,0,,Click Response,ResponseA,3,object-86,Testing02,,2,,,_,TA,CHOR,_01.png,_02.png,,,,,CHOR_TA_01.png,CHOR_TA_02.png,CHOR_TI_02.png,,,,,,,,,CHOR_TA_02.png,,,
13,1686657580339,13/06/2023 11:59:40,1686661180339,1,13/06/2023 13:59:40,136362,2,task-pfy5,,30033347,5b9118ad2f7c0c000181e6dc,8944361,,complete,,6488672e23ebde9ddf55dad3,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1600x900,1600x789,,Noun-Number Testing (Clone),1,Noun Number Testing,11,Testing02,Testing 02,hvzr65,1,response,BLAR_TA_02.png,1398.4969999999994,1384.4379999999983,1398.4969999999994,1398.4969999999994,1384.4379999999983,1398.4969999999994,1,1398.4969999999994,0,0,,Click Response,ResponseB,4,object-85,Testing02,,2,,,_,TA,BLAR,_01.png,_02.png,,,,,BLAR_TA_01.png,BLAR_TU_02.png,BLAR_TA_02.png,,,,,,,,,BLAR_TA_02.png,,,
14,1686657581606,13/06/2023 11:59:41,1686661181606,1,13/06/2023 13:59:41,136362,2,task-pfy5,,30033347,5b9118ad2f7c0c000181e6dc,8944361,,complete,,6488672e23ebde9ddf55dad3,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1600x900,1600x789,,Noun-Number Testing (Clone),1,Noun Number Testing,12,Testing02,Testing 02,hvzr65,1,response,DREE_TU_02.png,1268.117999999995,1251.4519999999975,1268.117999999995,1268.117999999995,1251.4519999999975,1268.117999999995,1,1268.117999999995,0,0,,Click Response,ResponseA,3,object-86,Testing02,,2,,,_,TU,DREE,_01.png,_02.png,,,,,DREE_TU_01.png,DREE_TU_02.png,DREE_TA_02.png,,,,,,,,,DREE_TU_02.png,,,
15,1686657585338,13/06/2023 11:59:45,1686661185338,1,13/06/2023 13:59:45,136362,2,task-pfy5,,30033347,5b9118ad2f7c0c000181e6dc,8944361,,complete,,6488672e23ebde9ddf55dad3,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1600x900,1600x789,,Noun-Number Testing (Clone),1,Noun Number Testing,13,Testing02,Testing 02,hvzr65,1,response,STOO_TI_02.png,3762.2070000238455,3751.089000000007,3762.2070000238455,3762.2070000238455,3751.089000000007,3762.2070000238455,0,3762.2070000238455,0,0,,Click Response,ResponseA,3,object-86,Testing02,,3,,,_,TA,STOO,_01.png,_02.png,,,,,STOO_TA_01.png,STOO_TI_02.png,STOO_TA_02.png,,,,,,,,,STOO_TA_02.png,,,
16,1686657586627,13/06/2023 11:59:46,1686661186627,1,13/06/2023 13:59:46,136362,2,task-pfy5,,30033347,5b9118ad2f7c0c000181e6dc,8944361,,complete,,6488672e23ebde9ddf55dad3,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1600x900,1600x789,,Noun-Number Testing (Clone),1,Noun Number Testing,14,Testing02,Testing 02,hvzr65,1,response,DREE_TU_02.png,1299.5179999999964,1287.1319999999978,1299.5179999999964,1299.5179999999964,1287.1319999999978,1299.5179999999964,0,1299.5179999999964,0,0,,Click Response,ResponseA,3,object-86,Testing02,,3,,,_,TI,DREE,_01.png,_02.png,,,,,DREE_TI_01.png,DREE_TU_02.png,DREE_TI_02.png,,,,,,,,,DREE_TI_02.png,,,
17,1686657588667,13/06/2023 11:59:48,1686661188667,1,13/06/2023 13:59:48,136362,2,task-pfy5,,30033347,5b9118ad2f7c0c000181e6dc,8944361,,complete,,6488672e23ebde9ddf55dad3,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1600x900,1600x789,,Noun-Number Testing (Clone),1,Noun Number Testing,15,Testing02,Testing 02,hvzr65,1,response,PHAI_TA_02.png,2051.1159999999945,2034.449999999997,2051.1159999999945,2051.1159999999945,2034.449999999997,2051.1159999999945,1,2051.1159999999945,0,0,,Click Response,ResponseA,3,object-86,Testing02,,3,,,_,TA,PHAI,_01.png,_02.png,,,,,PHAI_TA_01.png,PHAI_TA_02.png,PHAI_TU_02.png,,,,,,,,,PHAI_TA_02.png,,,
18,1686657590107,13/06/2023 11:59:50,1686661190107,1,13/06/2023 13:59:50,136362,2,task-pfy5,,30033347,5b9118ad2f7c0c000181e6dc,8944361,,complete,,6488672e23ebde9ddf55dad3,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1600x900,1600x789,,Noun-Number Testing (Clone),1,Noun Number Testing,16,Testing02,Testing 02,hvzr65,1,response,CHOR_TU_02.png,1457.6360000476852,1452.0310000000027,1457.6360000476852,1457.6360000476852,1452.0310000000027,1457.6360000476852,1,1457.6360000476852,0,0,,Click Response,ResponseB,4,object-85,Testing02,,3,,,_,TU,CHOR,_01.png,_02.png,,,,,CHOR_TU_01.png,CHOR_TA_02.png,CHOR_TU_02.png,,,,,,,,,CHOR_TU_02.png,,,
19,1686657591323,13/06/2023 11:59:51,1686661191323,1,13/06/2023 13:59:51,136362,2,task-pfy5,,30033347,5b9118ad2f7c0c000181e6dc,8944361,,complete,,6488672e23ebde9ddf55dad3,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1600x900,1600x789,,Noun-Number Testing (Clone),1,Noun Number Testing,17,Testing02,Testing 02,hvzr65,1,response,BLAR_TA_02.png,1221.9049999999988,1218.0109999999986,1221.9049999999988,1221.9049999999988,1218.0109999999986,1221.9049999999988,0,1221.9049999999988,0,0,,Click Response,ResponseB,4,object-85,Testing02,,3,,,_,TI,BLAR,_01.png,_02.png,,,,,BLAR_TI_01.png,BLAR_TI_02.png,BLAR_TA_02.png,,,,,,,,,BLAR_TI_02.png,,,
20,1686657592923,13/06/2023 11:59:52,1686661192923,1,13/06/2023 13:59:52,136362,2,task-pfy5,,30033347,5b9118ad2f7c0c000181e6dc,8944361,,complete,,6488672e23ebde9ddf55dad3,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1600x900,1600x789,,Noun-Number Testing (Clone),1,Noun Number Testing,18,Testing02,Testing 02,hvzr65,1,response,SNUR_TU_02.png,1601.1230000000069,1584.4570000000022,1601.1230000000069,1601.1230000000069,1584.4570000000022,1601.1230000000069,1,1601.1230000000069,0,0,,Click Response,ResponseA,3,object-86,Testing02,,3,,,_,TU,SNUR,_01.png,_02.png,,,,,SNUR_TU_01.png,SNUR_TU_02.png,SNUR_TI_02.png,,,,,,,,,SNUR_TU_02.png,,,
21,1686657594255,13/06/2023 11:59:54,1686661194255,1,13/06/2023 13:59:54,136362,2,task-pfy5,,30033347,5b9118ad2f7c0c000181e6dc,8944361,,complete,,6488672e23ebde9ddf55dad3,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1600x900,1600x789,,Noun-Number Testing (Clone),1,Noun Number Testing,1,Scoring,Score,lbqwfd,1,continue,,1351.8370000953655,1335.8709999999992,1351.8370000953655,1351.8370000953655,1335.8709999999992,1351.8370000953655,1,1351.8370000953655,0,0,,Click To Continue,Continue Button,2,object-91,Scoring,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1686657594258,13/06/2023 11:59:54,1686661194258,1,13/06/2023 13:59:54,136362,2,task-pfy5,,30033347,5b9118ad2f7c0c000181e6dc,8944361,,complete,,6488672e23ebde9ddf55dad3,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1600x900,1600x789,,Noun-Number Testing (Clone),1,Noun Number Testing,,,,,,5,END,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1686658376299,13/06/2023 12:12:56,1686661976299,1,13/06/2023 14:12:56,136362,2,task-pfy5,,30033759,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Testing (Clone),1,Noun Number Testing,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1686658383662,13/06/2023 12:13:03,1686661983662,1,13/06/2023 14:13:03,136362,2,task-pfy5,,30033759,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Testing (Clone),1,Noun Number Testing,1,Instructions02,Instructions02,g2b1f4,1,continue,,7380.999999904632,7374.668,7380.999999904632,7380.999999904632,7374.668,7380.999999904632,1,7380.999999904632,0,0,,Click To Continue,Continue Button,2,object-79,Instructions02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1686658388863,13/06/2023 12:13:08,1686661988863,1,13/06/2023 14:13:08,136362,2,task-pfy5,,30033759,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Testing (Clone),1,Noun Number Testing,1,Testing02,Testing 02,hvzr65,1,response,BLAR_TU_02.png,5205.644999999999,5188.954,5205.644999999999,5205.644999999999,5188.954,5205.644999999999,1,5205.644999999999,0,0,,Click Response,ResponseA,3,object-86,Testing02,,1,,,_,TU,BLAR,_01.png,_02.png,,,,,BLAR_TU_01.png,BLAR_TU_02.png,BLAR_TI_02.png,,,,,,,,,BLAR_TU_02.png,,,
4,1686658392298,13/06/2023 12:13:12,1686661992298,1,13/06/2023 14:13:12,136362,2,task-pfy5,,30033759,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Testing (Clone),1,Noun Number Testing,2,Testing02,Testing 02,hvzr65,1,response,DREE_TA_02.png,3454.0790000000034,3437.335000000001,3454.0790000000034,3454.0790000000034,3437.335000000001,3454.0790000000034,1,3454.0790000000034,0,0,,Click Response,ResponseB,4,object-85,Testing02,,1,,,_,TA,DREE,_01.png,_02.png,,,,,DREE_TA_01.png,DREE_TI_02.png,DREE_TA_02.png,,,,,,,,,DREE_TA_02.png,,,
5,1686658395204,13/06/2023 12:13:15,1686661995204,1,13/06/2023 14:13:15,136362,2,task-pfy5,,30033759,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Testing (Clone),1,Noun Number Testing,3,Testing02,Testing 02,hvzr65,1,response,STOO_TU_02.png,2922.9429999999993,2919.6820000000007,2922.9429999999993,2922.9429999999993,2919.6820000000007,2922.9429999999993,1,2922.9429999999993,0,0,,Click Response,ResponseB,4,object-85,Testing02,,1,,,_,TU,STOO,_01.png,_02.png,,,,,STOO_TU_01.png,STOO_TA_02.png,STOO_TU_02.png,,,,,,,,,STOO_TU_02.png,,,
6,1686658397767,13/06/2023 12:13:17,1686661997767,1,13/06/2023 14:13:17,136362,2,task-pfy5,,30033759,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Testing (Clone),1,Noun Number Testing,4,Testing02,Testing 02,hvzr65,1,response,PHAI_TI_02.png,2566.560999952315,2553.215,2566.560999952315,2566.560999952315,2553.215,2566.560999952315,1,2566.560999952315,0,0,,Click Response,ResponseA,3,object-86,Testing02,,1,,,_,TI,PHAI,_01.png,_02.png,,,,,PHAI_TI_01.png,PHAI_TI_02.png,PHAI_TA_02.png,,,,,,,,,PHAI_TI_02.png,,,
7,1686658400646,13/06/2023 12:13:20,1686662000646,1,13/06/2023 14:13:20,136362,2,task-pfy5,,30033759,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Testing (Clone),1,Noun Number Testing,5,Testing02,Testing 02,hvzr65,1,response,SNUR_TA_02.png,2892.5459999999985,2886.2289999999994,2892.5459999999985,2892.5459999999985,2886.2289999999994,2892.5459999999985,1,2892.5459999999985,0,0,,Click Response,ResponseA,3,object-86,Testing02,,1,,,_,TA,SNUR,_01.png,_02.png,,,,,SNUR_TA_01.png,SNUR_TA_02.png,SNUR_TU_02.png,,,,,,,,,SNUR_TA_02.png,,,
8,1686658403078,13/06/2023 12:13:23,1686662003078,1,13/06/2023 14:13:23,136362,2,task-pfy5,,30033759,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Testing (Clone),1,Noun Number Testing,6,Testing02,Testing 02,hvzr65,1,response,CHOR_TI_02.png,2438.316999999999,2435.954999999998,2438.316999999999,2438.316999999999,2435.954999999998,2438.316999999999,1,2438.316999999999,0,0,,Click Response,ResponseB,4,object-85,Testing02,,1,,,_,TI,CHOR,_01.png,_02.png,,,,,CHOR_TI_01.png,CHOR_TU_02.png,CHOR_TI_02.png,,,,,,,,,CHOR_TI_02.png,,,
9,1686658405149,13/06/2023 12:13:25,1686662005149,1,13/06/2023 14:13:25,136362,2,task-pfy5,,30033759,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Testing (Clone),1,Noun Number Testing,7,Testing02,Testing 02,hvzr65,1,response,CHOR_TA_02.png,2073.4619999046336,2068.892,2073.4619999046336,2073.4619999046336,2068.892,2073.4619999046336,1,2073.4619999046336,0,0,,Click Response,ResponseA,3,object-86,Testing02,,2,,,_,TA,CHOR,_01.png,_02.png,,,,,CHOR_TA_01.png,CHOR_TA_02.png,CHOR_TI_02.png,,,,,,,,,CHOR_TA_02.png,,,
10,1686658408210,13/06/2023 12:13:28,1686662008210,1,13/06/2023 14:13:28,136362,2,task-pfy5,,30033759,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Testing (Clone),1,Noun Number Testing,8,Testing02,Testing 02,hvzr65,1,response,DREE_TU_02.png,3065.6699999284756,3053.504000000001,3065.6699999284756,3065.6699999284756,3053.504000000001,3065.6699999284756,1,3065.6699999284756,0,0,,Click Response,ResponseA,3,object-86,Testing02,,2,,,_,TU,DREE,_01.png,_02.png,,,,,DREE_TU_01.png,DREE_TU_02.png,DREE_TA_02.png,,,,,,,,,DREE_TU_02.png,,,
11,1686658410050,13/06/2023 12:13:30,1686662010050,1,13/06/2023 14:13:30,136362,2,task-pfy5,,30033759,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Testing (Clone),1,Noun Number Testing,9,Testing02,Testing 02,hvzr65,1,response,BLAR_TA_02.png,1851.898000000001,1835.237000000001,1851.898000000001,1851.898000000001,1835.237000000001,1851.898000000001,1,1851.898000000001,0,0,,Click Response,ResponseB,4,object-85,Testing02,,2,,,_,TA,BLAR,_01.png,_02.png,,,,,BLAR_TA_01.png,BLAR_TU_02.png,BLAR_TA_02.png,,,,,,,,,BLAR_TA_02.png,,,
12,1686658411881,13/06/2023 12:13:31,1686662011881,1,13/06/2023 14:13:31,136362,2,task-pfy5,,30033759,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Testing (Clone),1,Noun Number Testing,10,Testing02,Testing 02,hvzr65,1,response,PHAI_TU_02.png,1847.828999904632,1835.2690000000002,1847.828999904632,1847.828999904632,1835.2690000000002,1847.828999904632,1,1847.828999904632,0,0,,Click Response,ResponseB,4,object-85,Testing02,,2,,,_,TU,PHAI,_01.png,_02.png,,,,,PHAI_TU_01.png,PHAI_TI_02.png,PHAI_TU_02.png,,,,,,,,,PHAI_TU_02.png,,,
13,1686658413817,13/06/2023 12:13:33,1686662013817,1,13/06/2023 14:13:33,136362,2,task-pfy5,,30033759,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Testing (Clone),1,Noun Number Testing,11,Testing02,Testing 02,hvzr65,1,response,STOO_TI_02.png,1948.4599999999991,1935.5939999999973,1948.4599999999991,1948.4599999999991,1935.5939999999973,1948.4599999999991,1,1948.4599999999991,0,0,,Click Response,ResponseA,3,object-86,Testing02,,2,,,_,TI,STOO,_01.png,_02.png,,,,,STOO_TI_01.png,STOO_TI_02.png,STOO_TU_02.png,,,,,,,,,STOO_TI_02.png,,,
14,1686658415779,13/06/2023 12:13:35,1686662015779,1,13/06/2023 14:13:35,136362,2,task-pfy5,,30033759,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Testing (Clone),1,Noun Number Testing,12,Testing02,Testing 02,hvzr65,1,response,SNUR_TI_02.png,1975.4659999046344,1969.0350000000035,1975.4659999046344,1975.4659999046344,1969.0350000000035,1975.4659999046344,1,1975.4659999046344,0,0,,Click Response,ResponseB,4,object-85,Testing02,,2,,,_,TI,SNUR,_01.png,_02.png,,,,,SNUR_TI_01.png,SNUR_TA_02.png,SNUR_TI_02.png,,,,,,,,,SNUR_TI_02.png,,,
