Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: ShowProgressBar,Spreadsheet: VERB,Spreadsheet: _,Spreadsheet: NUM,Spreadsheet: NOUN,Spreadsheet: _01,Spreadsheet: _02,Spreadsheet: _BLOT,Spreadsheet: AlienCountA,Spreadsheet: AlienCountB,Spreadsheet: TextResponseA,Spreadsheet: AlienTestCount03,Spreadsheet: Test01Option01,Spreadsheet: Test01Option02,Spreadsheet: Train02Picture01,Spreadsheet: Train02Picture02,Spreadsheet: TextTraining02,Spreadsheet: Test02Picture01,Spreadsheet: Test02Option01,Spreadsheet: Test02Option02,Spreadsheet: ,Spreadsheet: CorrectAnswer,Spreadsheet: TestCorrectAnswer,Manipulation: Spreadsheet,Store: correct,Store: total
16,1686659384771,13/06/2023 12:29:44,1686662984771,1,13/06/2023 14:29:44,136362,2,task-pfy5,,30034666,642eff909eee13bdf7d7b64b,8944640,,complete,,64886e7b74903131002bd21e,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1280x720,1280x577,,Noun-Number Testing (Clone),1,Noun Number Testing,14,Testing02,Testing 02,hvzr65,1,response,DREE_TI_02.png,1946.1099999284743,1933.4540000000015,1946.1099999284743,1946.1099999284743,1933.4540000000015,1946.1099999284743,1,1946.1099999284743,0,0,,Click Response,ResponseB,4,object-85,Testing02,,3,,,_,TI,DREE,_01.png,_02.png,,,,,DREE_TI_01.png,DREE_TU_02.png,DREE_TI_02.png,,,,,,,,,DREE_TI_02.png,,,
17,1686659386538,13/06/2023 12:29:46,1686662986538,1,13/06/2023 14:29:46,136362,2,task-pfy5,,30034666,642eff909eee13bdf7d7b64b,8944640,,complete,,64886e7b74903131002bd21e,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1280x720,1280x577,,Noun-Number Testing (Clone),1,Noun Number Testing,15,Testing02,Testing 02,hvzr65,1,response,STOO_TA_02.png,1779.9559999999983,1766.3319999999985,1779.9559999999983,1779.9559999999983,1766.3319999999985,1779.9559999999983,1,1779.9559999999983,0,0,,Click Response,ResponseB,4,object-85,Testing02,,3,,,_,TA,STOO,_01.png,_02.png,,,,,STOO_TA_01.png,STOO_TI_02.png,STOO_TA_02.png,,,,,,,,,STOO_TA_02.png,,,
18,1686659388909,13/06/2023 12:29:48,1686662988909,1,13/06/2023 14:29:48,136362,2,task-pfy5,,30034666,642eff909eee13bdf7d7b64b,8944640,,complete,,64886e7b74903131002bd21e,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1280x720,1280x577,,Noun-Number Testing (Clone),1,Noun Number Testing,16,Testing02,Testing 02,hvzr65,1,response,CHOR_TU_02.png,2384.624,2382.770999999997,2384.624,2384.624,2382.770999999997,2384.624,1,2384.624,0,0,,Click Response,ResponseB,4,object-85,Testing02,,3,,,_,TU,CHOR,_01.png,_02.png,,,,,CHOR_TU_01.png,CHOR_TA_02.png,CHOR_TU_02.png,,,,,,,,,CHOR_TU_02.png,,,
19,1686659390627,13/06/2023 12:29:50,1686662990627,1,13/06/2023 14:29:50,136362,2,task-pfy5,,30034666,642eff909eee13bdf7d7b64b,8944640,,complete,,64886e7b74903131002bd21e,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1280x720,1280x577,,Noun-Number Testing (Clone),1,Noun Number Testing,17,Testing02,Testing 02,hvzr65,1,response,BLAR_TI_02.png,1719.0529999284772,1716.422000000006,1719.0529999284772,1719.0529999284772,1716.422000000006,1719.0529999284772,1,1719.0529999284772,0,0,,Click Response,ResponseA,3,object-86,Testing02,,3,,,_,TI,BLAR,_01.png,_02.png,,,,,BLAR_TI_01.png,BLAR_TI_02.png,BLAR_TA_02.png,,,,,,,,,BLAR_TI_02.png,,,
20,1686659392892,13/06/2023 12:29:52,1686662992892,1,13/06/2023 14:29:52,136362,2,task-pfy5,,30034666,642eff909eee13bdf7d7b64b,8944640,,complete,,64886e7b74903131002bd21e,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1280x720,1280x577,,Noun-Number Testing (Clone),1,Noun Number Testing,18,Testing02,Testing 02,hvzr65,1,response,PHAI_TA_02.png,2267.1070000000036,2250.2160000000003,2267.1070000000036,2267.1070000000036,2250.2160000000003,2267.1070000000036,1,2267.1070000000036,0,0,,Click Response,ResponseA,3,object-86,Testing02,,3,,,_,TA,PHAI,_01.png,_02.png,,,,,PHAI_TA_01.png,PHAI_TA_02.png,PHAI_TU_02.png,,,,,,,,,PHAI_TA_02.png,,,
21,1686659394229,13/06/2023 12:29:54,1686662994229,1,13/06/2023 14:29:54,136362,2,task-pfy5,,30034666,642eff909eee13bdf7d7b64b,8944640,,complete,,64886e7b74903131002bd21e,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1280x720,1280x577,,Noun-Number Testing (Clone),1,Noun Number Testing,1,Scoring,Score,lbqwfd,1,continue,,1354.8150000238384,1349.699999999997,1354.8150000238384,1354.8150000238384,1349.699999999997,1354.8150000238384,1,1354.8150000238384,0,0,,Click To Continue,Continue Button,2,object-91,Scoring,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1686659394230,13/06/2023 12:29:54,1686662994230,1,13/06/2023 14:29:54,136362,2,task-pfy5,,30034666,642eff909eee13bdf7d7b64b,8944640,,complete,,64886e7b74903131002bd21e,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1280x720,1280x577,,Noun-Number Testing (Clone),1,Noun Number Testing,,,,,,5,END,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1686659392809,13/06/2023 12:29:52,1686662992809,1,13/06/2023 14:29:52,136362,2,task-pfy5,,30034697,578ce1bdc9abeb0001af3163,8944645,,complete,,64886e896545fbce33b71b34,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1920x1080,1920x977,,Noun-Number Testing (Clone),1,Noun Number Testing,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1686659401440,13/06/2023 12:30:01,1686663001440,1,13/06/2023 14:30:01,136362,2,task-pfy5,,30034697,578ce1bdc9abeb0001af3163,8944645,,complete,,64886e896545fbce33b71b34,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1920x1080,1920x977,,Noun-Number Testing (Clone),1,Noun Number Testing,1,Instructions02,Instructions02,g2b1f4,1,continue,,8658.512999991059,8641.975999999999,8658.512999991059,8658.512999991059,8641.975999999999,8658.512999991059,1,8658.512999991059,0,0,,Click To Continue,Continue Button,2,object-79,Instructions02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1686659407992,13/06/2023 12:30:07,1686663007992,1,13/06/2023 14:30:07,136362,2,task-pfy5,,30034697,578ce1bdc9abeb0001af3163,8944645,,complete,,64886e896545fbce33b71b34,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1920x1080,1920x977,,Noun-Number Testing (Clone),1,Noun Number Testing,1,Testing02,Testing 02,hvzr65,1,response,BLAR_TI_02.png,6568.837000002981,6556.563,6568.837000002981,6568.837000002981,6556.563,6568.837000002981,0,6568.837000002981,0,0,,Click Response,ResponseB,4,object-85,Testing02,,1,,,_,TU,BLAR,_01.png,_02.png,,,,,BLAR_TU_01.png,BLAR_TU_02.png,BLAR_TI_02.png,,,,,,,,,BLAR_TU_02.png,,,
