Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: ShowProgressBar,Spreadsheet: VERB,Spreadsheet: _,Spreadsheet: NUM,Spreadsheet: NOUN,Spreadsheet: _01,Spreadsheet: _02,Spreadsheet: _BLOT,Spreadsheet: AlienCountA,Spreadsheet: AlienCountB,Spreadsheet: TextResponseA,Spreadsheet: AlienTestCount03,Spreadsheet: Test01Option01,Spreadsheet: Test01Option02,Spreadsheet: Train02Picture01,Spreadsheet: Train02Picture02,Spreadsheet: TextTraining02,Spreadsheet: Test02Picture01,Spreadsheet: Test02Option01,Spreadsheet: Test02Option02,Spreadsheet: ,Spreadsheet: CorrectAnswer,Manipulation: Spreadsheet,Store: correct,Store: total
8,1686660631613,13/06/2023 12:50:31,1686664231613,1,13/06/2023 14:50:31,136362,2,task-v6g5,,30035721,611e1cf011c9f05d6990d4ae,8944653,,complete,,64886e30ffe82789ab697fbf,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1920x1080,1920x961,,Singular-Plural Testing (Clone),1,Singular Plural Testing,6,Testing,Testing,hvzr65,1,response,PAU_KO_PHAI_TI_02.png,51986.50399999963,51978.05300000001,51986.50399999963,51986.50399999963,51978.05300000001,51986.50399999963,0,51986.50399999963,0,0,,Click Response,ResponseB,4,object-85,Testing,,1, ,PAU,_,KO,PHAI,,_02.png,_BLOT.png,,,,,,,,,,PAU_KO_PHAI_BLOT.png,PAU_KO_PHAI_TU_02.png,PAU_KO_PHAI_TI_02.png,,PAU_KO_PHAI_TU_02.png,,,
9,1686660635101,13/06/2023 12:50:35,1686664235101,1,13/06/2023 14:50:35,136362,2,task-v6g5,,30035721,611e1cf011c9f05d6990d4ae,8944653,,complete,,64886e30ffe82789ab697fbf,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1920x1080,1920x961,,Singular-Plural Testing (Clone),1,Singular Plural Testing,7,Testing,Testing,hvzr65,1,response,GOI_KO_CHOR_TA_02.png,3496.6509999988775,3490.9249999999884,3496.6509999988775,3496.6509999988775,3490.9249999999884,3496.6509999988775,0,3496.6509999988775,0,0,,Click Response,ResponseB,4,object-85,Testing,,2, ,GOI,_,KO,CHOR,,_02.png,_BLOT.png,,,,,,,,,,GOI_KO_CHOR_BLOT.png,GOI_KO_CHOR_TU_02.png,GOI_KO_CHOR_TA_02.png,,GOI_KO_CHOR_TU_02.png,,,
10,1686660638317,13/06/2023 12:50:38,1686664238317,1,13/06/2023 14:50:38,136362,2,task-v6g5,,30035721,611e1cf011c9f05d6990d4ae,8944653,,complete,,64886e30ffe82789ab697fbf,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1920x1080,1920x961,,Singular-Plural Testing (Clone),1,Singular Plural Testing,8,Testing,Testing,hvzr65,1,response,GOI_KE_STOO_TU_02.png,3221.725999998889,3208.095000000001,3221.725999998889,3221.725999998889,3208.095000000001,3221.725999998889,0,3221.725999998889,0,0,,Click Response,ResponseA,3,object-86,Testing,,2, ,GOI,_,KE,STOO,,_02.png,_BLOT.png,,,,,,,,,,GOI_KE_STOO_BLOT.png,GOI_KE_STOO_TU_02.png,GOI_KE_STOO_TA_02.png,,GOI_KE_STOO_TA_02.png,,,
11,1686660642150,13/06/2023 12:50:42,1686664242150,1,13/06/2023 14:50:42,136362,2,task-v6g5,,30035721,611e1cf011c9f05d6990d4ae,8944653,,complete,,64886e30ffe82789ab697fbf,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1920x1080,1920x961,,Singular-Plural Testing (Clone),1,Singular Plural Testing,9,Testing,Testing,hvzr65,1,response,PAU_KE_SNUR_TU_02.png,3845.930999999633,3839.8050000000076,3845.930999999633,3845.930999999633,3839.8050000000076,3845.930999999633,0,3845.930999999633,0,0,,Click Response,ResponseB,4,object-85,Testing,,2, ,PAU,_,KE,SNUR,,_02.png,_BLOT.png,,,,,,,,,,PAU_KE_SNUR_BLOT.png,PAU_KE_SNUR_TI_02.png,PAU_KE_SNUR_TU_02.png,,PAU_KE_SNUR_TI_02.png,,,
12,1686660645973,13/06/2023 12:50:45,1686664245973,1,13/06/2023 14:50:45,136362,2,task-v6g5,,30035721,611e1cf011c9f05d6990d4ae,8944653,,complete,,64886e30ffe82789ab697fbf,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1920x1080,1920x961,,Singular-Plural Testing (Clone),1,Singular Plural Testing,10,Testing,Testing,hvzr65,1,response,PAU_KO_DREE_TU_02.png,3829.6259999996255,3822.9879999999976,3829.6259999996255,3829.6259999996255,3822.9879999999976,3829.6259999996255,1,3829.6259999996255,0,0,,Click Response,ResponseB,4,object-85,Testing,,2, ,PAU,_,KO,DREE,,_02.png,_BLOT.png,,,,,,,,,,PAU_KO_DREE_BLOT.png,PAU_KO_DREE_TI_02.png,PAU_KO_DREE_TU_02.png,,PAU_KO_DREE_TU_02.png,,,
13,1686660648591,13/06/2023 12:50:48,1686664248591,1,13/06/2023 14:50:48,136362,2,task-v6g5,,30035721,611e1cf011c9f05d6990d4ae,8944653,,complete,,64886e30ffe82789ab697fbf,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1920x1080,1920x961,,Singular-Plural Testing (Clone),1,Singular Plural Testing,11,Testing,Testing,hvzr65,1,response,GOI_KE_PHAI_TA_02.png,2624.5380000000005,2609.8659999999945,2624.5380000000005,2624.5380000000005,2609.8659999999945,2624.5380000000005,0,2624.5380000000005,0,0,,Click Response,ResponseA,3,object-86,Testing,,2, ,GOI,_,KE,PHAI,,_02.png,_BLOT.png,,,,,,,,,,GOI_KE_PHAI_BLOT.png,GOI_KE_PHAI_TA_02.png,GOI_KE_PHAI_TI_02.png,,GOI_KE_PHAI_TI_02.png,,,
14,1686660674094,13/06/2023 12:51:14,1686664274094,1,13/06/2023 14:51:14,136362,2,task-v6g5,,30035721,611e1cf011c9f05d6990d4ae,8944653,,complete,,64886e30ffe82789ab697fbf,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1920x1080,1920x961,,Singular-Plural Testing (Clone),1,Singular Plural Testing,12,Testing,Testing,hvzr65,1,response,PAU_KE_BLAR_TA_02.png,25517.672000000006,25515.239000000016,25517.672000000006,25517.672000000006,25515.239000000016,25517.672000000006,1,25517.672000000006,0,0,,Click Response,ResponseA,3,object-86,Testing,,2, ,PAU,_,KE,BLAR,,_02.png,_BLOT.png,,,,,,,,,,PAU_KE_BLAR_BLOT.png,PAU_KE_BLAR_TA_02.png,PAU_KE_BLAR_TI_02.png,,PAU_KE_BLAR_TA_02.png,,,
15,1686660677853,13/06/2023 12:51:17,1686664277853,1,13/06/2023 14:51:17,136362,2,task-v6g5,,30035721,611e1cf011c9f05d6990d4ae,8944653,,complete,,64886e30ffe82789ab697fbf,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1920x1080,1920x961,,Singular-Plural Testing (Clone),1,Singular Plural Testing,13,Testing,Testing,hvzr65,1,response,PAU_KE_PHAI_TI_02.png,3761.93299999999,3756.703999999998,3761.93299999999,3761.93299999999,3756.703999999998,3761.93299999999,1,3761.93299999999,0,0,,Click Response,ResponseB,4,object-85,Testing,,3, ,PAU,_,KE,PHAI,,_02.png,_BLOT.png,,,,,,,,,,PAU_KE_PHAI_BLOT.png,PAU_KE_PHAI_TU_02.png,PAU_KE_PHAI_TI_02.png,,PAU_KE_PHAI_TI_02.png,,,
16,1686660681573,13/06/2023 12:51:21,1686664281573,1,13/06/2023 14:51:21,136362,2,task-v6g5,,30035721,611e1cf011c9f05d6990d4ae,8944653,,complete,,64886e30ffe82789ab697fbf,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1920x1080,1920x961,,Singular-Plural Testing (Clone),1,Singular Plural Testing,14,Testing,Testing,hvzr65,1,response,GOI_KO_BLAR_TA_02.png,3725.428999999247,3723.1929999999993,3725.428999999247,3725.428999999247,3723.1929999999993,3725.428999999247,0,3725.428999999247,0,0,,Click Response,ResponseA,3,object-86,Testing,,3, ,GOI,_,KO,BLAR,,_02.png,_BLOT.png,,,,,,,,,,GOI_KO_BLAR_BLOT.png,GOI_KO_BLAR_TA_02.png,GOI_KO_BLAR_TU_02.png,,GOI_KO_BLAR_TU_02.png,,,
17,1686660687013,13/06/2023 12:51:27,1686664287013,1,13/06/2023 14:51:27,136362,2,task-v6g5,,30035721,611e1cf011c9f05d6990d4ae,8944653,,complete,,64886e30ffe82789ab697fbf,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1920x1080,1920x961,,Singular-Plural Testing (Clone),1,Singular Plural Testing,15,Testing,Testing,hvzr65,1,response,GOI_KE_DREE_TI_02.png,5442.335999998875,5435.4649999999965,5442.335999998875,5442.335999998875,5435.4649999999965,5442.335999998875,1,5442.335999998875,0,0,,Click Response,ResponseA,3,object-86,Testing,,3, ,GOI,_,KE,DREE,,_02.png,_BLOT.png,,,,,,,,,,GOI_KE_DREE_BLOT.png,GOI_KE_DREE_TI_02.png,GOI_KE_DREE_TA_02.png,,GOI_KE_DREE_TI_02.png,,,
