Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: ShowProgressBar,Spreadsheet: VERB,Spreadsheet: _,Spreadsheet: NUM,Spreadsheet: NOUN,Spreadsheet: _01,Spreadsheet: _02,Spreadsheet: _BLOT,Spreadsheet: AlienCountA,Spreadsheet: AlienCountB,Spreadsheet: TextResponseA,Spreadsheet: AlienTestCount03,Spreadsheet: Test01Option01,Spreadsheet: Test01Option02,Spreadsheet: Train02Picture01,Spreadsheet: Train02Picture02,Spreadsheet: TextTraining02,Spreadsheet: Test02Picture01,Spreadsheet: Test02Option01,Spreadsheet: Test02Option02,Spreadsheet: ,Spreadsheet: TestCorrectAnswer,Spreadsheet: Age,Spreadsheet: Gender,Spreadsheet: Handedness,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
7,1686665475850,13/06/2023 14:11:15,1686669075850,1,13/06/2023 16:11:15,136362,2,task-5j4a,,30038487,5d5a8cbeeb68e00018d85fb7,8945677,,complete,,648886fd27aae528ba978c0f,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1536x864,1536x722,,Noun-Number Training (Clone),1,Noun Number Training,1,Instructions01,Instructions6,9ur7d5,6,continue,,733.5680000000011,716.9150000000009,733.5680000000011,733.5680000000011,716.9150000000009,733.5680000000011,1,733.5680000000011,0,0,,Click To Continue,Continue Button,2,object-91,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1686665482949,13/06/2023 14:11:22,1686669082949,1,13/06/2023 16:11:22,136362,2,task-5j4a,,30038487,5d5a8cbeeb68e00018d85fb7,8945677,,complete,,648886fd27aae528ba978c0f,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1536x864,1536x722,,Noun-Number Training (Clone),1,Noun Number Training,1,Instructions01,Instructions7,rts1od,7,continue,,7115.737999976158,7102.611000000001,7115.737999976158,7115.737999976158,7102.611000000001,7115.737999976158,1,7115.737999976158,0,0,,Click To Continue,Continue Button,3,object-151,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1686665482959,13/06/2023 14:11:22,1686669082959,1,13/06/2023 16:11:22,136362,2,task-5j4a,,30038487,5d5a8cbeeb68e00018d85fb7,8945677,,complete,,648886fd27aae528ba978c0f,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1536x864,1536x722,,Noun-Number Training (Clone),1,Noun Number Training,1,Instructions01,Instructions7,rts1od,7,response,25,2717.723,7102.611000000001,7119.272000000001,2717.723,7102.611000000001,7119.272000000001,1,2717.723,4401.549000000001,0,,Dropdown,Age,2,object-150,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1686665482961,13/06/2023 14:11:22,1686669082961,1,13/06/2023 16:11:22,136362,2,task-5j4a,,30038487,5d5a8cbeeb68e00018d85fb7,8945677,,complete,,648886fd27aae528ba978c0f,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1536x864,1536x722,,Noun-Number Training (Clone),1,Noun Number Training,1,Instructions01,Instructions7,rts1od,7,response,Female,4451.757,7102.611000000001,7119.272000000001,4451.757,7102.611000000001,7119.272000000001,1,4451.757,2667.5150000000012,0,,Dropdown,Gender,5,object-154,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1686665482963,13/06/2023 14:11:22,1686669082963,1,13/06/2023 16:11:22,136362,2,task-5j4a,,30038487,5d5a8cbeeb68e00018d85fb7,8945677,,complete,,648886fd27aae528ba978c0f,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1536x864,1536x722,,Noun-Number Training (Clone),1,Noun Number Training,1,Instructions01,Instructions7,rts1od,7,response,Right-handed,6235.606,7102.611000000001,7119.272000000001,6235.606,7102.611000000001,7119.272000000001,1,6235.606,883.6660000000011,0,,Dropdown,Handedness,7,object-156,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1686665523737,13/06/2023 14:12:03,1686669123737,1,13/06/2023 16:12:03,136362,2,task-5j4a,,30038487,5d5a8cbeeb68e00018d85fb7,8945677,,complete,,648886fd27aae528ba978c0f,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1536x864,1536x722,,Noun-Number Training (Clone),1,Noun Number Training,1,Instructions01,Instructions8,q3gk2e,8,continue,,40801.727,40798.86,40801.727,40801.727,40798.86,40801.727,1,40801.727,0,0,,Click To Continue,Continue Button,2,object-75,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1686665532637,13/06/2023 14:12:12,1686669132637,1,13/06/2023 16:12:12,136362,2,task-5j4a,,30038487,5d5a8cbeeb68e00018d85fb7,8945677,,complete,,648886fd27aae528ba978c0f,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1536x864,1536x722,,Noun-Number Training (Clone),1,Noun Number Training,1,Training01,Training01,34efq7,1,response,PHAITI,1450.688000000002,8886.808000000005,8902.666999952315,1450.688000000002,8886.808000000005,8902.666999952315,1,1450.688000000002,7451.978999952313,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,1, ,,,,PHAI,_01.png,_02.png,,PHAI_TI_01.png,PHAI_TI_02.png,PHAITI,,,,,,,,,,,,,,,,,,
14,1686665537101,13/06/2023 14:12:17,1686669137101,1,13/06/2023 16:12:17,136362,2,task-5j4a,,30038487,5d5a8cbeeb68e00018d85fb7,8945677,,complete,,648886fd27aae528ba978c0f,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1536x864,1536x722,,Noun-Number Training (Clone),1,Noun Number Training,2,Training01,Training01,34efq7,1,response,DREETI,2450.949999999997,4468.27399999999,4480.85899995231,2450.949999999997,4468.27399999999,4480.85899995231,1,2450.949999999997,2029.908999952313,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,1, ,,,,DREE,_01.png,_02.png,,DREE_TI_01.png,DREE_TI_02.png,DREETI,,,,,,,,,,,,,,,,,,
15,1686665540853,13/06/2023 14:12:20,1686669140853,1,13/06/2023 16:12:20,136362,2,task-5j4a,,30038487,5d5a8cbeeb68e00018d85fb7,8945677,,complete,,648886fd27aae528ba978c0f,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1536x864,1536x722,,Noun-Number Training (Clone),1,Noun Number Training,3,Training01,Training01,34efq7,1,response,SNURTU,1183.8850000000093,3751.5149999999994,3764.58499995232,1183.8850000000093,3751.5149999999994,3764.58499995232,1,1183.8850000000093,2580.6999999523105,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,1, ,,,,SNUR,_01.png,_02.png,,SNUR_TU_01.png,SNUR_TU_02.png,SNURTU,,,,,,,,,,,,,,,,,,
16,1686665544171,13/06/2023 14:12:24,1686669144171,1,13/06/2023 16:12:24,136362,2,task-5j4a,,30038487,5d5a8cbeeb68e00018d85fb7,8945677,,complete,,648886fd27aae528ba978c0f,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1536x864,1536x722,,Noun-Number Training (Clone),1,Noun Number Training,4,Training01,Training01,34efq7,1,response,BLARTA,1467.2250000000058,3317.964000000007,3330.469999988083,1467.2250000000058,3317.964000000007,3330.469999988083,1,1467.2250000000058,1863.2449999880773,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,1,,,,,BLAR,_01.png,_02.png,,BLAR_TA_01.png,BLAR_TA_02.png,BLARTA,,,,,,,,,,,,,,,,,,
17,1686665548122,13/06/2023 14:12:28,1686669148122,1,13/06/2023 16:12:28,136362,2,task-5j4a,,30038487,5d5a8cbeeb68e00018d85fb7,8945677,,complete,,648886fd27aae528ba978c0f,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1536x864,1536x722,,Noun-Number Training (Clone),1,Noun Number Training,5,Training01,Training01,34efq7,1,response,CHORTU,1300.4599999999919,3951.296000000002,3963.505999988076,1300.4599999999919,3951.296000000002,3963.505999988076,1,1300.4599999999919,2663.045999988084,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,1, ,,,,CHOR,_01.png,_02.png,,CHOR_TU_01.png,CHOR_TU_02.png,CHORTU,,,,,,,,,,,,,,,,,,
18,1686665550806,13/06/2023 14:12:30,1686669150806,1,13/06/2023 16:12:30,136362,2,task-5j4a,,30038487,5d5a8cbeeb68e00018d85fb7,8945677,,complete,,648886fd27aae528ba978c0f,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1536x864,1536x722,,Noun-Number Training (Clone),1,Noun Number Training,6,Training01,Training01,34efq7,1,response,STOOTA,1133.7829999999958,2684.357999999993,2696.409999976153,1133.7829999999958,2684.357999999993,2696.409999976153,1,1133.7829999999958,1562.626999976157,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,1, ,,,,STOO,_01.png,_02.png,,STOO_TA_01.png,STOO_TA_02.png,STOOTA,,,,,,,,,,,,,,,,,,
19,1686665553597,13/06/2023 14:12:33,1686669153597,1,13/06/2023 16:12:33,136362,2,task-5j4a,,30038487,5d5a8cbeeb68e00018d85fb7,8945677,,complete,,648886fd27aae528ba978c0f,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1536x864,1536x722,,Noun-Number Training (Clone),1,Noun Number Training,7,Training01,Training01,34efq7,1,response,BLARTU,1200.4720000000088,2801.0840000000026,2802.652000000002,1200.4720000000088,2801.0840000000026,2802.652000000002,1,1200.4720000000088,1602.179999999993,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,2, ,,,,BLAR,_01.png,_02.png,,BLAR_TU_01.png,BLAR_TU_02.png,BLARTU,,,,,,,,,,,,,,,,,,
20,1686665556496,13/06/2023 14:12:36,1686669156496,1,13/06/2023 16:12:36,136362,2,task-5j4a,,30038487,5d5a8cbeeb68e00018d85fb7,8945677,,complete,,648886fd27aae528ba978c0f,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1536x864,1536x722,,Noun-Number Training (Clone),1,Noun Number Training,8,Training01,Training01,34efq7,1,response,CHORTI,933.6499999999942,2884.4060000000027,2900.6679999642365,933.6499999999942,2884.4060000000027,2900.6679999642365,1,933.6499999999942,1967.0179999642423,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,2, ,,,,CHOR,_01.png,_02.png,,CHOR_TI_01.png,CHOR_TI_02.png,CHORTI,,,,,,,,,,,,,,,,,,
21,1686665559184,13/06/2023 14:12:39,1686669159184,1,13/06/2023 16:12:39,136362,2,task-5j4a,,30038487,5d5a8cbeeb68e00018d85fb7,8945677,,complete,,648886fd27aae528ba978c0f,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1536x864,1536x722,,Noun-Number Training (Clone),1,Noun Number Training,9,Training01,Training01,34efq7,1,response,DREETA,883.6889999999985,2701.032999999996,2704.761999964234,883.6889999999985,2701.032999999996,2704.761999964234,1,883.6889999999985,1821.0729999642354,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,2, ,,,,DREE,_01.png,_02.png,,DREE_TA_01.png,DREE_TA_02.png,DREETA,,,,,,,,,,,,,,,,,,
22,1686665563261,13/06/2023 14:12:43,1686669163261,1,13/06/2023 16:12:43,136362,2,task-5j4a,,30038487,5d5a8cbeeb68e00018d85fb7,8945677,,complete,,648886fd27aae528ba978c0f,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1536x864,1536x722,,Noun-Number Training (Clone),1,Noun Number Training,10,Training01,Training01,34efq7,1,response,PHAITU,1050.3969999999972,4068.2090000000026,4080.32899998808,1050.3969999999972,4068.2090000000026,4080.32899998808,1,1050.3969999999972,3029.9319999880827,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,2, ,,,,PHAI,_01.png,_02.png,,PHAI_TU_01.png,PHAI_TU_02.png,PHAITU,,,,,,,,,,,,,,,,,,
23,1686665568394,13/06/2023 14:12:48,1686669168394,1,13/06/2023 16:12:48,136362,2,task-5j4a,,30038487,5d5a8cbeeb68e00018d85fb7,8945677,,complete,,648886fd27aae528ba978c0f,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1536x864,1536x722,,Noun-Number Training (Clone),1,Noun Number Training,11,Training01,Training01,34efq7,1,response,STOOTI,1117.0599999999977,5135.269,5145.5199999642355,1117.0599999999977,5135.269,5145.5199999642355,1,1117.0599999999977,4028.459999964238,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,2, ,,,,STOO,_01.png,_02.png,,STOO_TI_01.png,STOO_TI_02.png,STOOTI,,,,,,,,,,,,,,,,,,
24,1686665572247,13/06/2023 14:12:52,1686669172247,1,13/06/2023 16:12:52,136362,2,task-5j4a,,30038487,5d5a8cbeeb68e00018d85fb7,8945677,,complete,,648886fd27aae528ba978c0f,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1536x864,1536x722,,Noun-Number Training (Clone),1,Noun Number Training,12,Training01,Training01,34efq7,1,response,SNURTA,1150.4639999999927,3851.4949999999953,3862.650999999998,1150.4639999999927,3851.4949999999953,3862.650999999998,1,1150.4639999999927,2712.1870000000054,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,2, ,,,,SNUR,_01.png,_02.png,,SNUR_TA_01.png,SNUR_TA_02.png,SNURTA,,,,,,,,,,,,,,,,,,
25,1686665575057,13/06/2023 14:12:55,1686669175057,1,13/06/2023 16:12:55,136362,2,task-5j4a,,30038487,5d5a8cbeeb68e00018d85fb7,8945677,,complete,,648886fd27aae528ba978c0f,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1536x864,1536x722,,Noun-Number Training (Clone),1,Noun Number Training,13,Training01,Training01,34efq7,1,response,PHAITA,1033.673999999999,2817.7400000000052,2821.6560000000027,1033.673999999999,2817.7400000000052,2821.6560000000027,1,1033.673999999999,1787.9820000000036,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,3, ,,,,PHAI,_01.png,_02.png,,PHAI_TA_01.png,PHAI_TA_02.png,PHAITA,,,,,,,,,,,,,,,,,,
26,1686665577891,13/06/2023 14:12:57,1686669177891,1,13/06/2023 16:12:57,136362,2,task-5j4a,,30038487,5d5a8cbeeb68e00018d85fb7,8945677,,complete,,648886fd27aae528ba978c0f,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1536x864,1536x722,,Noun-Number Training (Clone),1,Noun Number Training,14,Training01,Training01,34efq7,1,response,DREETU,933.7050000000017,2834.4189999999944,2838.3159999761556,933.7050000000017,2834.4189999999944,2838.3159999761556,1,933.7050000000017,1904.6109999761538,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,3, ,,,,DREE,_01.png,_02.png,,DREE_TU_01.png,DREE_TU_02.png,DREETU,,,,,,,,,,,,,,,,,,
27,1686665581307,13/06/2023 14:13:01,1686669181307,1,13/06/2023 16:13:01,136362,2,task-5j4a,,30038487,5d5a8cbeeb68e00018d85fb7,8945677,,complete,,648886fd27aae528ba978c0f,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1536x864,1536x722,,Noun-Number Training (Clone),1,Noun Number Training,15,Training01,Training01,34efq7,1,response,BLARTI,983.7260000000097,3417.9579999999987,3419.396999976161,983.7260000000097,3417.9579999999987,3419.396999976161,1,983.7260000000097,2435.6709999761515,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,3, ,,,,BLAR,_01.png,_02.png,,BLAR_TI_01.png,BLAR_TI_02.png,BLARTI,,,,,,,,,,,,,,,,,,
