Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: ShowProgressBar,Spreadsheet: VERB,Spreadsheet: _,Spreadsheet: NUM,Spreadsheet: NOUN,Spreadsheet: _01,Spreadsheet: _02,Spreadsheet: _BLOT,Spreadsheet: AlienCountA,Spreadsheet: AlienCountB,Spreadsheet: TextResponseA,Spreadsheet: AlienTestCount03,Spreadsheet: Test01Option01,Spreadsheet: Test01Option02,Spreadsheet: Train02Picture01,Spreadsheet: Train02Picture02,Spreadsheet: TextTraining02,Spreadsheet: Test02Picture01,Spreadsheet: Test02Option01,Spreadsheet: Test02Option02,Spreadsheet: ,Spreadsheet: TestCorrectAnswer,Spreadsheet: Age,Spreadsheet: Gender,Spreadsheet: Handedness,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
1,1686658222696,13/06/2023 12:10:22,1686661822696,1,13/06/2023 14:10:22,136362,2,task-5j4a,,30033675,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Training (Clone),1,Noun Number Training,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1686658225782,13/06/2023 12:10:25,1686661825782,1,13/06/2023 14:10:25,136362,2,task-5j4a,,30033675,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Training (Clone),1,Noun Number Training,1,Instructions01,Instructions1,l6tegj,1,continue,,3103.281,3086.7799999999997,3103.281,3103.281,3086.7799999999997,3103.281,1,3103.281,0,0,,Click To Continue,Continue Button,2,object-8,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1686658228550,13/06/2023 12:10:28,1686661828550,1,13/06/2023 14:10:28,136362,2,task-5j4a,,30033675,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Training (Clone),1,Noun Number Training,1,Instructions01,Instructions2,m22b5k,2,continue,,2785.1009999046328,2769.358,2785.1009999046328,2785.1009999046328,2769.358,2785.1009999046328,1,2785.1009999046328,0,0,,Click To Continue,Continue Button,2,object-26,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1686658229579,13/06/2023 12:10:29,1686661829579,1,13/06/2023 14:10:29,136362,2,task-5j4a,,30033675,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Training (Clone),1,Noun Number Training,1,Instructions01,Instructions3,1nixcc,3,continue,,1045.5429999761582,1034.563,1045.5429999761582,1045.5429999761582,1034.563,1045.5429999761582,1,1045.5429999761582,0,0,,Click To Continue,Continue Button,2,object-126,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1686658231442,13/06/2023 12:10:31,1686661831442,1,13/06/2023 14:10:31,136362,2,task-5j4a,,30033675,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Training (Clone),1,Noun Number Training,1,Instructions01,Instructions4,8v99zt,4,continue,,1873.1799999046325,1868.6669999999995,1873.1799999046325,1873.1799999046325,1868.6669999999995,1873.1799999046325,1,1873.1799999046325,0,0,,Click To Continue,Continue Button,2,object-122,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1686658234177,13/06/2023 12:10:34,1686661834177,1,13/06/2023 14:10:34,136362,2,task-5j4a,,30033675,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Training (Clone),1,Noun Number Training,1,Instructions01,Instructions5,ipt5mm,5,continue,,2740.2129999523167,2736.3860000000004,2740.2129999523167,2740.2129999523167,2736.3860000000004,2740.2129999523167,1,2740.2129999523167,0,0,,Click To Continue,Continue Button,2,object-32,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1686658237358,13/06/2023 12:10:37,1686661837358,1,13/06/2023 14:10:37,136362,2,task-5j4a,,30033675,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Training (Clone),1,Noun Number Training,1,Instructions01,Instructions6,9ur7d5,6,continue,,3184.8269999523163,3170.1580000000013,3184.8269999523163,3184.8269999523163,3170.1580000000013,3184.8269999523163,1,3184.8269999523163,0,0,,Click To Continue,Continue Button,2,object-91,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1686658245782,13/06/2023 12:10:45,1686661845782,1,13/06/2023 14:10:45,136362,2,task-5j4a,,30033675,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Training (Clone),1,Noun Number Training,1,Instructions01,Instructions7,rts1od,7,continue,,8437.968999904631,8426.309999999998,8437.968999904631,8437.968999904631,8426.309999999998,8437.968999904631,1,8437.968999904631,0,0,,Click To Continue,Continue Button,3,object-151,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1686658245786,13/06/2023 12:10:45,1686661845786,1,13/06/2023 14:10:45,136362,2,task-5j4a,,30033675,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Training (Clone),1,Noun Number Training,1,Instructions01,Instructions7,rts1od,7,response,20,3387.572,8426.309999999998,8442.268999976157,3387.572,8426.309999999998,8442.268999976157,1,3387.572,5054.696999976157,0,,Dropdown,Age,2,object-150,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1686658245787,13/06/2023 12:10:45,1686661845787,1,13/06/2023 14:10:45,136362,2,task-5j4a,,30033675,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Training (Clone),1,Noun Number Training,1,Instructions01,Instructions7,rts1od,7,response,Male,5255.749,8426.309999999998,8443.071999999996,5255.749,8426.309999999998,8443.071999999996,1,5255.749,3187.3229999999967,0,,Dropdown,Gender,5,object-154,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1686658245788,13/06/2023 12:10:45,1686661845788,1,13/06/2023 14:10:45,136362,2,task-5j4a,,30033675,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Training (Clone),1,Noun Number Training,1,Instructions01,Instructions7,rts1od,7,response,Right-handed,7458.566999999999,8426.309999999998,8443.071999999996,7458.566999999999,8426.309999999998,8443.071999999996,1,7458.566999999999,984.5049999999974,0,,Dropdown,Handedness,7,object-156,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1686658266335,13/06/2023 12:11:06,1686661866335,1,13/06/2023 14:11:06,136362,2,task-5j4a,,30033675,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Training (Clone),1,Noun Number Training,1,Instructions01,Instructions8,q3gk2e,8,continue,,20564.559,20555.654000000002,20564.559,20564.559,20555.654000000002,20564.559,1,20564.559,0,0,,Click To Continue,Continue Button,2,object-75,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1686658276121,13/06/2023 12:11:16,1686661876121,1,13/06/2023 14:11:16,136362,2,task-5j4a,,30033675,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Training (Clone),1,Noun Number Training,1,Training01,Training01,34efq7,1,response,STOOTA,6190.375999999997,9777.362999999998,9794.021999999997,6190.375999999997,9777.362999999998,9794.021999999997,1,6190.375999999997,3603.6460000000006,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,1, ,,,,STOO,_01.png,_02.png,,STOO_TA_01.png,STOO_TA_02.png,STOOTA,,,,,,,,,,,,,,,,,,
14,1686658284181,13/06/2023 12:11:24,1686661884181,1,13/06/2023 14:11:24,136362,2,task-5j4a,,30033675,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Training (Clone),1,Noun Number Training,2,Training01,Training01,34efq7,1,response,DREETI,3904.2880000000005,8075.582999999999,8078.341999952318,3904.2880000000005,8075.582999999999,8078.341999952318,1,3904.2880000000005,4174.053999952317,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,1, ,,,,DREE,_01.png,_02.png,,DREE_TI_01.png,DREE_TI_02.png,DREETI,,,,,,,,,,,,,,,,,,
15,1686658291829,13/06/2023 12:11:31,1686661891829,1,13/06/2023 14:11:31,136362,2,task-5j4a,,30033675,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Training (Clone),1,Noun Number Training,3,Training01,Training01,34efq7,1,response,SNURTU,5239.388999999996,7641.741999999998,7651.358999976161,5239.388999999996,7641.741999999998,7651.358999976161,1,5239.388999999996,2411.969999976165,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,1, ,,,,SNUR,_01.png,_02.png,,SNUR_TU_01.png,SNUR_TU_02.png,SNURTU,,,,,,,,,,,,,,,,,,
16,1686658298107,13/06/2023 12:11:38,1686661898107,1,13/06/2023 14:11:38,136362,2,task-5j4a,,30033675,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Training (Clone),1,Noun Number Training,4,Training01,Training01,34efq7,1,response,CHORTU,3937.7520000000077,6273.7850000000035,6286.816999904637,3937.7520000000077,6273.7850000000035,6286.816999904637,1,3937.7520000000077,2349.064999904629,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,1, ,,,,CHOR,_01.png,_02.png,,CHOR_TU_01.png,CHOR_TU_02.png,CHORTU,,,,,,,,,,,,,,,,,,
17,1686658304418,13/06/2023 12:11:44,1686661904418,1,13/06/2023 14:11:44,136362,2,task-5j4a,,30033675,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Training (Clone),1,Noun Number Training,5,Training01,Training01,34efq7,1,response,BLARTA,2235.5929999999935,6307.057000000001,6323.784,2235.5929999999935,6307.057000000001,6323.784,1,2235.5929999999935,4088.191000000006,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,1,,,,,BLAR,_01.png,_02.png,,BLAR_TA_01.png,BLAR_TA_02.png,BLARTA,,,,,,,,,,,,,,,,,,
18,1686658311545,13/06/2023 12:11:51,1686661911545,1,13/06/2023 14:11:51,136362,2,task-5j4a,,30033675,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Training (Clone),1,Noun Number Training,6,Training01,Training01,34efq7,1,response,PHAITI,4438.017999999996,7140.9130000000005,7144.875,4438.017999999996,7140.9130000000005,7144.875,1,4438.017999999996,2706.8570000000036,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,1, ,,,,PHAI,_01.png,_02.png,,PHAI_TI_01.png,PHAI_TI_02.png,PHAITI,,,,,,,,,,,,,,,,,,
19,1686658316813,13/06/2023 12:11:56,1686661916813,1,13/06/2023 14:11:56,136362,2,task-5j4a,,30033675,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Training (Clone),1,Noun Number Training,7,Training01,Training01,34efq7,1,response,CHORTI,2869.8369999999995,5255.792000000001,5271.861999976158,2869.8369999999995,5255.792000000001,5271.861999976158,1,2869.8369999999995,2402.024999976158,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,2, ,,,,CHOR,_01.png,_02.png,,CHOR_TI_01.png,CHOR_TI_02.png,CHORTI,,,,,,,,,,,,,,,,,,
20,1686658324050,13/06/2023 12:12:04,1686661924050,1,13/06/2023 14:12:04,136362,2,task-5j4a,,30033675,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Training (Clone),1,Noun Number Training,8,Training01,Training01,34efq7,1,response,STOOTI,4471.919999999998,7241.323000000004,7252.9699999523145,4471.919999999998,7241.323000000004,7252.9699999523145,1,4471.919999999998,2781.0499999523163,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,2, ,,,,STOO,_01.png,_02.png,,STOO_TI_01.png,STOO_TI_02.png,STOOTI,,,,,,,,,,,,,,,,,,
21,1686658328337,13/06/2023 12:12:08,1686661928337,1,13/06/2023 14:12:08,136362,2,task-5j4a,,30033675,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Training (Clone),1,Noun Number Training,9,Training01,Training01,34efq7,1,response,DREETA,2068.8929999999964,4288.106,4298.446999904627,2068.8929999999964,4288.106,4298.446999904627,1,2068.8929999999964,2229.5539999046305,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,2, ,,,,DREE,_01.png,_02.png,,DREE_TA_01.png,DREE_TA_02.png,DREETA,,,,,,,,,,,,,,,,,,
22,1686658332454,13/06/2023 12:12:12,1686661932454,1,13/06/2023 14:12:12,136362,2,task-5j4a,,30033675,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Training (Clone),1,Noun Number Training,10,Training01,Training01,34efq7,1,response,SNURTA,2135.9139999999898,4121.451000000001,4127.440999928469,2135.9139999999898,4121.451000000001,4127.440999928469,1,2135.9139999999898,1991.5269999284792,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,2, ,,,,SNUR,_01.png,_02.png,,SNUR_TA_01.png,SNUR_TA_02.png,SNURTA,,,,,,,,,,,,,,,,,,
23,1686658337452,13/06/2023 12:12:17,1686661937452,1,13/06/2023 14:12:17,136362,2,task-5j4a,,30033675,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Training (Clone),1,Noun Number Training,11,Training01,Training01,34efq7,1,response,PHAITU,2485.685999999987,4988.860000000001,5003.489999928468,2485.685999999987,4988.860000000001,5003.489999928468,1,2485.685999999987,2517.803999928481,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,2, ,,,,PHAI,_01.png,_02.png,,PHAI_TU_01.png,PHAI_TU_02.png,PHAITU,,,,,,,,,,,,,,,,,,
24,1686658342299,13/06/2023 12:12:22,1686661942299,1,13/06/2023 14:12:22,136362,2,task-5j4a,,30033675,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Training (Clone),1,Noun Number Training,12,Training01,Training01,34efq7,1,response,BLARTU,2469.0939999999973,4855.128999999986,4861.829999976151,2469.0939999999973,4855.128999999986,4861.829999976151,1,2469.0939999999973,2392.735999976154,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,2, ,,,,BLAR,_01.png,_02.png,,BLAR_TU_01.png,BLAR_TU_02.png,BLARTU,,,,,,,,,,,,,,,,,,
25,1686658346737,13/06/2023 12:12:26,1686661946737,1,13/06/2023 14:12:26,136362,2,task-5j4a,,30033675,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Training (Clone),1,Noun Number Training,13,Training01,Training01,34efq7,1,response,PHAITA,2052.498000000007,4438.02900000001,4444.400999904639,2052.498000000007,4438.02900000001,4444.400999904639,1,2052.498000000007,2391.9029999046325,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,3, ,,,,PHAI,_01.png,_02.png,,PHAI_TA_01.png,PHAI_TA_02.png,PHAITA,,,,,,,,,,,,,,,,,,
26,1686658350968,13/06/2023 12:12:30,1686661950968,1,13/06/2023 14:12:30,136362,2,task-5j4a,,30033675,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Training (Clone),1,Noun Number Training,14,Training01,Training01,34efq7,1,response,DREETU,2002.6529999999912,4221.375,4237.471999928472,2002.6529999999912,4221.375,4237.471999928472,1,2002.6529999999912,2234.8189999284805,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,3, ,,,,DREE,_01.png,_02.png,,DREE_TU_01.png,DREE_TU_02.png,DREETU,,,,,,,,,,,,,,,,,,
27,1686658356407,13/06/2023 12:12:36,1686661956407,1,13/06/2023 14:12:36,136362,2,task-5j4a,,30033675,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Training (Clone),1,Noun Number Training,15,Training01,Training01,34efq7,1,response,CHORTA,3220.1790000000037,5439.239000000001,5454.796999976155,3220.1790000000037,5439.239000000001,5454.796999976155,1,3220.1790000000037,2234.6179999761516,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,3, ,,,,CHOR,_01.png,_02.png,,CHOR_TA_01.png,CHOR_TA_02.png,CHORTA,,,,,,,,,,,,,,,,,,
28,1686658362950,13/06/2023 12:12:42,1686661962950,1,13/06/2023 14:12:42,136362,2,task-5j4a,,30033675,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Training (Clone),1,Noun Number Training,16,Training01,Training01,34efq7,1,response,BLARTI,4037.853999999992,6540.573999999993,6557.280999999988,4037.853999999992,6540.573999999993,6557.280999999988,1,4037.853999999992,2519.426999999996,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,3, ,,,,BLAR,_01.png,_02.png,,BLAR_TI_01.png,BLAR_TI_02.png,BLARTI,,,,,,,,,,,,,,,,,,
29,1686658368222,13/06/2023 12:12:48,1686661968222,1,13/06/2023 14:12:48,136362,2,task-5j4a,,30033675,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Training (Clone),1,Noun Number Training,17,Training01,Training01,34efq7,1,response,SNURTI,3036.8940000000002,5272.537000000011,5289.263000000006,3036.8940000000002,5272.537000000011,5289.263000000006,1,3036.8940000000002,2252.369000000006,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,3, ,,,,SNUR,_01.png,_02.png,,SNUR_TI_01.png,SNUR_TI_02.png,SNURTI,,,,,,,,,,,,,,,,,,
30,1686658373977,13/06/2023 12:12:53,1686661973977,1,13/06/2023 14:12:53,136362,2,task-5j4a,,30033675,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Training (Clone),1,Noun Number Training,18,Training01,Training01,34efq7,1,response,STOOTU,3587.566999999981,5756.491999999998,5772.746999928466,3587.566999999981,5756.491999999998,5772.746999928466,1,3587.566999999981,2185.179999928485,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,3, ,,,,STOO,_01.png,_02.png,,STOO_TU_01.png,STOO_TU_02.png,STOOTU,,,,,,,,,,,,,,,,,,
31,1686658373986,13/06/2023 12:12:53,1686661973986,1,13/06/2023 14:12:53,136362,2,task-5j4a,,30033675,60fa9c3a9c00703b82cf2974,8944452,,complete,,64886aaa939e5b50c6596737,computer,Desktop or Laptop,Windows 10,Edge 114.0.1823.43,1280x720,1280x601,,Noun-Number Training (Clone),1,Noun Number Training,,,,,,5,END,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1686658394802,13/06/2023 12:13:14,1686661994802,1,13/06/2023 14:13:14,136362,2,task-5j4a,,30033770,60fa9db86962e340766fcd80,8944473,,complete,,64886b5c1060c0fe407b4c29,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1536x864,1536x722,,Noun-Number Training (Clone),1,Noun Number Training,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1686658396596,13/06/2023 12:13:16,1686661996596,1,13/06/2023 14:13:16,136362,2,task-5j4a,,30033770,60fa9db86962e340766fcd80,8944473,,complete,,64886b5c1060c0fe407b4c29,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1536x864,1536x722,,Noun-Number Training (Clone),1,Noun Number Training,1,Instructions01,Instructions1,l6tegj,1,continue,,1818.252999999255,1816.285,1818.252999999255,1818.252999999255,1816.285,1818.252999999255,1,1818.252999999255,0,0,,Click To Continue,Continue Button,2,object-8,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1686658397796,13/06/2023 12:13:17,1686661997796,1,13/06/2023 14:13:17,136362,2,task-5j4a,,30033770,60fa9db86962e340766fcd80,8944473,,complete,,64886b5c1060c0fe407b4c29,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1536x864,1536x722,,Noun-Number Training (Clone),1,Noun Number Training,1,Instructions01,Instructions2,m22b5k,2,continue,,1202.5679999988824,1199.67,1202.5679999988824,1202.5679999988824,1199.67,1202.5679999988824,1,1202.5679999988824,0,0,,Click To Continue,Continue Button,2,object-26,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1686658398486,13/06/2023 12:13:18,1686661998486,1,13/06/2023 14:13:18,136362,2,task-5j4a,,30033770,60fa9db86962e340766fcd80,8944473,,complete,,64886b5c1060c0fe407b4c29,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1536x864,1536x722,,Noun-Number Training (Clone),1,Noun Number Training,1,Instructions01,Instructions3,1nixcc,3,continue,,692.9980000003725,683.1679999999997,692.9980000003725,692.9980000003725,683.1679999999997,692.9980000003725,1,692.9980000003725,0,0,,Click To Continue,Continue Button,2,object-126,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1686658400220,13/06/2023 12:13:20,1686662000220,1,13/06/2023 14:13:20,136362,2,task-5j4a,,30033770,60fa9db86962e340766fcd80,8944473,,complete,,64886b5c1060c0fe407b4c29,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1536x864,1536x722,,Noun-Number Training (Clone),1,Noun Number Training,1,Instructions01,Instructions4,8v99zt,4,continue,,1743.5299999996278,1733.0170000000007,1743.5299999996278,1743.5299999996278,1733.0170000000007,1743.5299999996278,1,1743.5299999996278,0,0,,Click To Continue,Continue Button,2,object-122,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1686658400836,13/06/2023 12:13:20,1686662000836,1,13/06/2023 14:13:20,136362,2,task-5j4a,,30033770,60fa9db86962e340766fcd80,8944473,,complete,,64886b5c1060c0fe407b4c29,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1536x864,1536x722,,Noun-Number Training (Clone),1,Noun Number Training,1,Instructions01,Instructions5,ipt5mm,5,continue,,627.012999999627,616.5139999999992,627.012999999627,627.012999999627,616.5139999999992,627.012999999627,1,627.012999999627,0,0,,Click To Continue,Continue Button,2,object-32,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1686658401369,13/06/2023 12:13:21,1686662001369,1,13/06/2023 14:13:21,136362,2,task-5j4a,,30033770,60fa9db86962e340766fcd80,8944473,,complete,,64886b5c1060c0fe407b4c29,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1536x864,1536x722,,Noun-Number Training (Clone),1,Noun Number Training,1,Instructions01,Instructions6,9ur7d5,6,continue,,543.3990000000003,533.2600000000011,543.3990000000003,543.3990000000003,533.2600000000011,543.3990000000003,1,543.3990000000003,0,0,,Click To Continue,Continue Button,2,object-91,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1686658407921,13/06/2023 12:13:27,1686662007921,1,13/06/2023 14:13:27,136362,2,task-5j4a,,30033770,60fa9db86962e340766fcd80,8944473,,complete,,64886b5c1060c0fe407b4c29,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1536x864,1536x722,,Noun-Number Training (Clone),1,Noun Number Training,1,Instructions01,Instructions7,rts1od,7,continue,,6561.338999999254,6548.7069999999985,6561.338999999254,6561.338999999254,6548.7069999999985,6561.338999999254,1,6561.338999999254,0,0,,Click To Continue,Continue Button,3,object-151,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1686658407924,13/06/2023 12:13:27,1686662007924,1,13/06/2023 14:13:27,136362,2,task-5j4a,,30033770,60fa9db86962e340766fcd80,8944473,,complete,,64886b5c1060c0fe407b4c29,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1536x864,1536x722,,Noun-Number Training (Clone),1,Noun Number Training,1,Instructions01,Instructions7,rts1od,7,response,24,3032.6949999999997,6548.7069999999985,6564.838999999254,3032.6949999999997,6548.7069999999985,6564.838999999254,1,3032.6949999999997,3532.1439999992544,0,,Dropdown,Age,2,object-150,Instructions01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
