Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-3q16,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: ShowProgressBar,Spreadsheet: VERB,Spreadsheet: _,Spreadsheet: NUM,Spreadsheet: NOUN,Spreadsheet: _01,Spreadsheet: _02,Spreadsheet: _BLOT,Spreadsheet: AlienCountA,Spreadsheet: AlienCountB,Spreadsheet: TextResponseA,Spreadsheet: AlienTestCount03,Spreadsheet: Test01Option01,Spreadsheet: Test01Option02,Spreadsheet: Train02Picture01,Spreadsheet: Train02Picture02,Spreadsheet: TextTraining02,Spreadsheet: Test02Picture01,Spreadsheet: Test02Option01,Spreadsheet: Test02Option02,Spreadsheet: ,Spreadsheet: CorrectAnswer,Manipulation: Spreadsheet,Store: correct,Store: total
32,1685030736098,25/05/2023 16:05:36,1685034336098,1,25/05/2023 18:05:36,128616,14,task-6umo,,29725775,5f0f2ff0762218000970c967,8844122,,complete,,646f908637079ec9f8d5461c,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1440x709,,Singular-Dual Testing,6,Singular-Dual,Singular Dual Testing,30,Testing,Testing,hvzr65,1,response,GOI_KE_SNUR_TA_02.png,1188,1186,1188,1188,1186,1188,0,1188,0,0,,Click Response,ResponseA,3,object-86,Testing,,5, ,GOI,_,KE,SNUR,,_02.png,_BLOT.png,,,,,,,,,,GOI_KE_SNUR_BLOT.png,GOI_KE_SNUR_TA_02.png,GOI_KE_SNUR_TU_02.png,,GOI_KE_SNUR_TU_02.png,,,
33,1685030736950,25/05/2023 16:05:36,1685034336950,1,25/05/2023 18:05:36,128616,14,task-6umo,,29725775,5f0f2ff0762218000970c967,8844122,,complete,,646f908637079ec9f8d5461c,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1440x709,,Singular-Dual Testing,6,Singular-Dual,Singular Dual Testing,31,Testing,Testing,hvzr65,1,response,PAU_KO_BLAR_TU_02.png,854,853,854,854,853,854,0,854,0,0,,Click Response,ResponseB,4,object-85,Testing,,6, ,PAU,_,KO,BLAR,,_02.png,_BLOT.png,,,,,,,,,,PAU_KO_BLAR_BLOT.png,PAU_KO_BLAR_TI_02.png,PAU_KO_BLAR_TU_02.png,,PAU_KO_BLAR_TI_02.png,,,
34,1685030737872,25/05/2023 16:05:37,1685034337872,1,25/05/2023 18:05:37,128616,14,task-6umo,,29725775,5f0f2ff0762218000970c967,8844122,,complete,,646f908637079ec9f8d5461c,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1440x709,,Singular-Dual Testing,6,Singular-Dual,Singular Dual Testing,32,Testing,Testing,hvzr65,1,response,GOI_KO_STOO_TA_02.png,923,921,923,923,921,923,0,923,0,0,,Click Response,ResponseA,3,object-86,Testing,,6, ,GOI,_,KO,STOO,,_02.png,_BLOT.png,,,,,,,,,,GOI_KO_STOO_BLOT.png,GOI_KO_STOO_TA_02.png,GOI_KO_STOO_TI_02.png,,GOI_KO_STOO_TI_02.png,,,
35,1685030738926,25/05/2023 16:05:38,1685034338926,1,25/05/2023 18:05:38,128616,14,task-6umo,,29725775,5f0f2ff0762218000970c967,8844122,,complete,,646f908637079ec9f8d5461c,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1440x709,,Singular-Dual Testing,6,Singular-Dual,Singular Dual Testing,33,Testing,Testing,hvzr65,1,response,PAU_KE_DREE_TI_02.png,1056,1053,1056,1056,1053,1056,0,1056,0,0,,Click Response,ResponseB,4,object-85,Testing,,6, ,PAU,_,KE,DREE,,_02.png,_BLOT.png,,,,,,,,,,PAU_KE_DREE_BLOT.png,PAU_KE_DREE_TA_02.png,PAU_KE_DREE_TI_02.png,,PAU_KE_DREE_TA_02.png,,,
36,1685030739898,25/05/2023 16:05:39,1685034339898,1,25/05/2023 18:05:39,128616,14,task-6umo,,29725775,5f0f2ff0762218000970c967,8844122,,complete,,646f908637079ec9f8d5461c,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1440x709,,Singular-Dual Testing,6,Singular-Dual,Singular Dual Testing,34,Testing,Testing,hvzr65,1,response,GOI_KE_CHOR_TU_02.png,974,969,974,974,969,974,0,974,0,0,,Click Response,ResponseA,3,object-86,Testing,,6, ,GOI,_,KE,CHOR,,_02.png,_BLOT.png,,,,,,,,,,GOI_KE_CHOR_BLOT.png,GOI_KE_CHOR_TU_02.png,GOI_KE_CHOR_TA_02.png,,GOI_KE_CHOR_TA_02.png,,,
37,1685030744459,25/05/2023 16:05:44,1685034344459,1,25/05/2023 18:05:44,128616,14,task-6umo,,29725775,5f0f2ff0762218000970c967,8844122,,complete,,646f908637079ec9f8d5461c,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1440x709,,Singular-Dual Testing,6,Singular-Dual,Singular Dual Testing,35,Testing,Testing,hvzr65,1,response,GOI_KE_PHAI_TA_02.png,4566,4564,4566,4566,4564,4566,0,4566,0,0,,Click Response,ResponseB,4,object-85,Testing,,6, ,GOI,_,KE,PHAI,,_02.png,_BLOT.png,,,,,,,,,,GOI_KE_PHAI_BLOT.png,GOI_KE_PHAI_TU_02.png,GOI_KE_PHAI_TA_02.png,,GOI_KE_PHAI_TU_02.png,,,
38,1685030749369,25/05/2023 16:05:49,1685034349369,1,25/05/2023 18:05:49,128616,14,task-6umo,,29725775,5f0f2ff0762218000970c967,8844122,,complete,,646f908637079ec9f8d5461c,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1440x709,,Singular-Dual Testing,6,Singular-Dual,Singular Dual Testing,36,Testing,Testing,hvzr65,1,response,PAU_KE_SNUR_TU_02.png,4913,4899,4913,4913,4899,4913,1,4913,0,0,,Click Response,ResponseB,4,object-85,Testing,,6, ,PAU,_,KE,SNUR,,_02.png,_BLOT.png,,,,,,,,,,PAU_KE_SNUR_BLOT.png,PAU_KE_SNUR_TI_02.png,PAU_KE_SNUR_TU_02.png,,PAU_KE_SNUR_TU_02.png,,,
39,1685030749375,25/05/2023 16:05:49,1685034349375,1,25/05/2023 18:05:49,128616,14,task-6umo,,29725775,5f0f2ff0762218000970c967,8844122,,complete,,646f908637079ec9f8d5461c,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1440x709,,Singular-Dual Testing,6,Singular-Dual,Singular Dual Testing,,,,,,,END,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1685177919278,27/05/2023 08:58:39,1685181519278,1,27/05/2023 10:58:39,128616,14,task-6umo,,29752146,5bbd2bdcf7358a000171636f,8853947,,complete,,6471cfb8a729f1298aa6a5a8,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,2560x1440,2560x1297,,Singular-Dual Testing,6,Singular-Dual,Singular Dual Testing,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1685177924320,27/05/2023 08:58:44,1685181524320,1,27/05/2023 10:58:44,128616,14,task-6umo,,29752146,5bbd2bdcf7358a000171636f,8853947,,complete,,6471cfb8a729f1298aa6a5a8,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,2560x1440,2560x1297,,Singular-Dual Testing,6,Singular-Dual,Singular Dual Testing,1,Instructions,Instructions,g2b1f4,1,continue,,5056.32300000298,5050.455,5056.32300000298,5056.32300000298,5050.455,5056.32300000298,1,5056.32300000298,0,0,,Click To Continue,Continue Button,2,object-79,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1685177937312,27/05/2023 08:58:57,1685181537312,1,27/05/2023 10:58:57,128616,14,task-6umo,,29752146,5bbd2bdcf7358a000171636f,8853947,,complete,,6471cfb8a729f1298aa6a5a8,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,2560x1440,2560x1297,,Singular-Dual Testing,6,Singular-Dual,Singular Dual Testing,1,Testing,Testing,hvzr65,1,response,GOI_KE_DREE_TA_02.png,12997.46799999702,12983.901,12997.46799999702,12997.46799999702,12983.901,12997.46799999702,0,12997.46799999702,0,0,,Click Response,ResponseA,3,object-86,Testing,,1, ,GOI,_,KE,DREE,,_02.png,_BLOT.png,,,,,,,,,,GOI_KE_DREE_BLOT.png,GOI_KE_DREE_TA_02.png,GOI_KE_DREE_TU_02.png,,GOI_KE_DREE_TU_02.png,,,
