Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-3q16,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
2,1685177281182,27/05/2023 08:48:01,1685180881182,1,27/05/2023 10:48:01,128616,14,task-58je,,29751903,5f69c3324f3cad02a9ac8cec,8853923,,complete,,6471ceaafc4ef02dc556603a,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1536x864,1536x746,,End Screen,2,Singular-Plural,Spreadsheet1,1,End,Screen 1,otfijt,1,continue,,2691.34,2683.2270000000003,2691.34,2691.34,2683.2270000000003,2691.34,1,2691.34,0,0,,Click To Continue,Continue Button,2,object-4,End,
3,1685177281190,27/05/2023 08:48:01,1685180881190,1,27/05/2023 10:48:01,128616,14,task-58je,,29751903,5f69c3324f3cad02a9ac8cec,8853923,,complete,,6471ceaafc4ef02dc556603a,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1536x864,1536x746,,End Screen,2,Singular-Plural,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,
1,1685177276833,27/05/2023 08:47:56,1685180876833,1,27/05/2023 10:47:56,128616,14,task-58je,,29751904,60cfcb4c402bc3a7ff5d8f3d,8853913,,complete,,6471ce7728b1eb726f5082d9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1440x900,1440x821,,End Screen,2,Singular-Dual,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,
2,1685177278740,27/05/2023 08:47:58,1685180878740,1,27/05/2023 10:47:58,128616,14,task-58je,,29751904,60cfcb4c402bc3a7ff5d8f3d,8853913,,complete,,6471ce7728b1eb726f5082d9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1440x900,1440x821,,End Screen,2,Singular-Dual,Spreadsheet1,1,End,Screen 1,otfijt,1,continue,,2587.7000000476837,2573.99,2587.7000000476837,2587.7000000476837,2573.99,2587.7000000476837,1,2587.7000000476837,0,0,,Click To Continue,Continue Button,2,object-4,End,
3,1685177278742,27/05/2023 08:47:58,1685180878742,1,27/05/2023 10:47:58,128616,14,task-58je,,29751904,60cfcb4c402bc3a7ff5d8f3d,8853913,,complete,,6471ce7728b1eb726f5082d9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1440x900,1440x821,,End Screen,2,Singular-Dual,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,
1,1685177285502,27/05/2023 08:48:05,1685180885502,1,27/05/2023 10:48:05,128616,14,task-58je,,29751907,63038022102690944a6720cf,8853938,,complete,,6471cf7cdf0706ecaa7b2401,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.4,1470x956,1325x778,,End Screen,2,Dual-Plural,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,
2,1685177287941,27/05/2023 08:48:07,1685180887941,1,27/05/2023 10:48:07,128616,14,task-58je,,29751907,63038022102690944a6720cf,8853938,,complete,,6471cf7cdf0706ecaa7b2401,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.4,1470x956,1325x778,,End Screen,2,Dual-Plural,Spreadsheet1,1,End,Screen 1,otfijt,1,continue,,3232,3215,3232,3232,3215,3232,1,3232,0,0,,Click To Continue,Continue Button,2,object-4,End,
3,1685177287943,27/05/2023 08:48:07,1685180887943,1,27/05/2023 10:48:07,128616,14,task-58je,,29751907,63038022102690944a6720cf,8853938,,complete,,6471cf7cdf0706ecaa7b2401,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.4,1470x956,1325x778,,End Screen,2,Dual-Plural,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,
1,1685177285745,27/05/2023 08:48:05,1685180885745,1,27/05/2023 10:48:05,128616,14,task-58je,,29751908,6400dc9a87b5f4d0c3604bf3,8853924,,complete,,6471cee36e2cc6fb0b1f3d94,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x975,,End Screen,2,Singular-Plural,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,
2,1685177287935,27/05/2023 08:48:07,1685180887935,1,27/05/2023 10:48:07,128616,14,task-58je,,29751908,6400dc9a87b5f4d0c3604bf3,8853924,,complete,,6471cee36e2cc6fb0b1f3d94,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x975,,End Screen,2,Singular-Plural,Spreadsheet1,1,End,Screen 1,otfijt,1,continue,,2709.399999976158,2696.584,2709.399999976158,2709.399999976158,2696.584,2709.399999976158,1,2709.399999976158,0,0,,Click To Continue,Continue Button,2,object-4,End,
3,1685177287935,27/05/2023 08:48:07,1685180887935,1,27/05/2023 10:48:07,128616,14,task-58je,,29751908,6400dc9a87b5f4d0c3604bf3,8853924,,complete,,6471cee36e2cc6fb0b1f3d94,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x975,,End Screen,2,Singular-Plural,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,
1,1685177292530,27/05/2023 08:48:12,1685180892530,1,27/05/2023 10:48:12,128616,14,task-58je,,29751912,5ece3f660e92801e30440344,8853935,,complete,,6471cf54507c08b37057b784,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x937,,End Screen,2,Singular-Dual,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,
2,1685177294352,27/05/2023 08:48:14,1685180894352,1,27/05/2023 10:48:14,128616,14,task-58je,,29751912,5ece3f660e92801e30440344,8853935,,complete,,6471cf54507c08b37057b784,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x937,,End Screen,2,Singular-Dual,Spreadsheet1,1,End,Screen 1,otfijt,1,continue,,1848.9869999970197,1833.2939999999999,1848.9869999970197,1848.9869999970197,1833.2939999999999,1848.9869999970197,1,1848.9869999970197,0,0,,Click To Continue,Continue Button,2,object-4,End,
3,1685177294355,27/05/2023 08:48:14,1685180894355,1,27/05/2023 10:48:14,128616,14,task-58je,,29751912,5ece3f660e92801e30440344,8853935,,complete,,6471cf54507c08b37057b784,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x937,,End Screen,2,Singular-Dual,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,
