Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-3q16,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: ShowProgressBar,Spreadsheet: VERB,Spreadsheet: _,Spreadsheet: NUM,Spreadsheet: NOUN,Spreadsheet: _01,Spreadsheet: _02,Spreadsheet: _BLOT,Spreadsheet: AlienCountA,Spreadsheet: AlienCountB,Spreadsheet: TextResponseA,Spreadsheet: AlienTestCount03,Spreadsheet: Test01Option01,Spreadsheet: Test01Option02,Spreadsheet: Train02Picture01,Spreadsheet: Train02Picture02,Spreadsheet: TextTraining02,Spreadsheet: Test02Picture01,Spreadsheet: Test02Option01,Spreadsheet: Test02Option02,Spreadsheet: ,Spreadsheet: CorrectAnswer,Manipulation: Spreadsheet,Store: correct,Store: total
5,1685176598426,27/05/2023 08:36:38,1685180198426,1,27/05/2023 10:36:38,128616,14,task-ftob,,29751655,5baa72a49d955f000147e406,8853874,,complete,,6471cbde90c166da5a678e1c,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1366x768,1242x545,,Dual-Plural Testing,13,Dual-Plural,Dual Plural Testing,3,Testing02,Testing,hvzr65,1,response,PAU_KE_PHAI_TU_02.png,3145.624999995529,3136.1990000000005,3145.624999995529,3145.624999995529,3136.1990000000005,3145.624999995529,1,3145.624999995529,0,0,,Click Response,ResponseA,3,object-86,Testing02,,1,,PAU,_,KE,PHAI,,_02.png,_BLOT.png,,,,,,,,,,PAU_KE_PHAI_BLOT.png,PAU_KE_PHAI_TU_02.png,PAU_KE_PHAI_TI_02.png,,PAU_KE_PHAI_TU_02.png,,,
6,1685176601116,27/05/2023 08:36:41,1685180201116,1,27/05/2023 10:36:41,128616,14,task-ftob,,29751655,5baa72a49d955f000147e406,8853874,,complete,,6471cbde90c166da5a678e1c,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1366x768,1242x545,,Dual-Plural Testing,13,Dual-Plural,Dual Plural Testing,4,Testing02,Testing,hvzr65,1,response,GOI_KE_SNUR_TI_02.png,2699.3259999940383,2684.208999999999,2699.3259999940383,2699.3259999940383,2684.208999999999,2699.3259999940383,1,2699.3259999940383,0,0,,Click Response,ResponseA,3,object-86,Testing02,,1,,GOI,_,KE,SNUR,,_02.png,_BLOT.png,,,,,,,,,,GOI_KE_SNUR_BLOT.png,GOI_KE_SNUR_TI_02.png,GOI_KE_SNUR_TA_02.png,,GOI_KE_SNUR_TI_02.png,,,
7,1685176604811,27/05/2023 08:36:44,1685180204811,1,27/05/2023 10:36:44,128616,14,task-ftob,,29751655,5baa72a49d955f000147e406,8853874,,complete,,6471cbde90c166da5a678e1c,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1366x768,1242x545,,Dual-Plural Testing,13,Dual-Plural,Dual Plural Testing,5,Testing02,Testing,hvzr65,1,response,GOI_KO_BLAR_TU_02.png,3709.517,3700.684000000001,3709.517,3709.517,3700.684000000001,3709.517,0,3709.517,0,0,,Click Response,ResponseB,4,object-85,Testing02,,1,,GOI,_,KO,BLAR,,_02.png,_BLOT.png,,,,,,,,,,GOI_KO_BLAR_BLOT.png,GOI_KO_BLAR_TA_02.png,GOI_KO_BLAR_TU_02.png,,GOI_KO_BLAR_TA_02.png,,,
8,1685176608415,27/05/2023 08:36:48,1685180208415,1,27/05/2023 10:36:48,128616,14,task-ftob,,29751655,5baa72a49d955f000147e406,8853874,,complete,,6471cbde90c166da5a678e1c,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1366x768,1242x545,,Dual-Plural Testing,13,Dual-Plural,Dual Plural Testing,6,Testing02,Testing,hvzr65,1,response,GOI_KE_DREE_TU_02.png,3612.7329999985086,3601.237000000001,3612.7329999985086,3612.7329999985086,3601.237000000001,3612.7329999985086,1,3612.7329999985086,0,0,,Click Response,ResponseB,4,object-85,Testing02,,1,,GOI,_,KE,DREE,,_02.png,_BLOT.png,,,,,,,,,,GOI_KE_DREE_BLOT.png,GOI_KE_DREE_TA_02.png,GOI_KE_DREE_TU_02.png,,GOI_KE_DREE_TU_02.png,,,
9,1685176610553,27/05/2023 08:36:50,1685180210553,1,27/05/2023 10:36:50,128616,14,task-ftob,,29751655,5baa72a49d955f000147e406,8853874,,complete,,6471cbde90c166da5a678e1c,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1366x768,1242x545,,Dual-Plural Testing,13,Dual-Plural,Dual Plural Testing,7,Testing02,Testing,hvzr65,1,response,GOI_KE_PHAI_TI_02.png,2149.3959999970175,2134.286,2149.3959999970175,2149.3959999970175,2134.286,2149.3959999970175,1,2149.3959999970175,0,0,,Click Response,ResponseB,4,object-85,Testing02,,2,,GOI,_,KE,PHAI,,_02.png,_BLOT.png,,,,,,,,,,GOI_KE_PHAI_BLOT.png,GOI_KE_PHAI_TA_02.png,GOI_KE_PHAI_TI_02.png,,GOI_KE_PHAI_TI_02.png,,,
10,1685176612349,27/05/2023 08:36:52,1685180212349,1,27/05/2023 10:36:52,128616,14,task-ftob,,29751655,5baa72a49d955f000147e406,8853874,,complete,,6471cbde90c166da5a678e1c,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1366x768,1242x545,,Dual-Plural Testing,13,Dual-Plural,Dual Plural Testing,8,Testing02,Testing,hvzr65,1,response,GOI_KO_STOO_TU_02.png,1811.5099999955273,1800.712999999996,1811.5099999955273,1811.5099999955273,1800.712999999996,1811.5099999955273,0,1811.5099999955273,0,0,,Click Response,ResponseA,3,object-86,Testing02,,2,,GOI,_,KO,STOO,,_02.png,_BLOT.png,,,,,,,,,,GOI_KO_STOO_BLOT.png,GOI_KO_STOO_TU_02.png,GOI_KO_STOO_TA_02.png,,GOI_KO_STOO_TA_02.png,,,
11,1685176616314,27/05/2023 08:36:56,1685180216314,1,27/05/2023 10:36:56,128616,14,task-ftob,,29751655,5baa72a49d955f000147e406,8853874,,complete,,6471cbde90c166da5a678e1c,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1366x768,1242x545,,Dual-Plural Testing,13,Dual-Plural,Dual Plural Testing,9,Testing02,Testing,hvzr65,1,response,PAU_KE_DREE_TU_02.png,3975.696999994041,3967.152000000002,3975.696999994041,3975.696999994041,3967.152000000002,3975.696999994041,1,3975.696999994041,0,0,,Click Response,ResponseB,4,object-85,Testing02,,2,,PAU,_,KE,DREE,,_02.png,_BLOT.png,,,,,,,,,,PAU_KE_DREE_BLOT.png,PAU_KE_DREE_TI_02.png,PAU_KE_DREE_TU_02.png,,PAU_KE_DREE_TU_02.png,,,
12,1685176618743,27/05/2023 08:36:58,1685180218743,1,27/05/2023 10:36:58,128616,14,task-ftob,,29751655,5baa72a49d955f000147e406,8853874,,complete,,6471cbde90c166da5a678e1c,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1366x768,1242x545,,Dual-Plural Testing,13,Dual-Plural,Dual Plural Testing,10,Testing02,Testing,hvzr65,1,response,PAU_KE_SNUR_TU_02.png,2437.8449999985096,2434.5190000000002,2437.8449999985096,2437.8449999985096,2434.5190000000002,2437.8449999985096,0,2437.8449999985096,0,0,,Click Response,ResponseB,4,object-85,Testing02,,2,,PAU,_,KE,SNUR,,_02.png,_BLOT.png,,,,,,,,,,PAU_KE_SNUR_BLOT.png,PAU_KE_SNUR_TI_02.png,PAU_KE_SNUR_TU_02.png,,PAU_KE_SNUR_TI_02.png,,,
13,1685176622227,27/05/2023 08:37:02,1685180222227,1,27/05/2023 10:37:02,128616,14,task-ftob,,29751655,5baa72a49d955f000147e406,8853874,,complete,,6471cbde90c166da5a678e1c,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1366x768,1242x545,,Dual-Plural Testing,13,Dual-Plural,Dual Plural Testing,11,Testing02,Testing,hvzr65,1,response,PAU_KO_BLAR_TA_02.png,3483.8900000000067,3467.224000000002,3483.8900000000067,3483.8900000000067,3467.224000000002,3483.8900000000067,1,3483.8900000000067,0,0,,Click Response,ResponseA,3,object-86,Testing02,,2,,PAU,_,KO,BLAR,,_02.png,_BLOT.png,,,,,,,,,,PAU_KO_BLAR_BLOT.png,PAU_KO_BLAR_TA_02.png,PAU_KO_BLAR_TI_02.png,,PAU_KO_BLAR_TA_02.png,,,
14,1685176624255,27/05/2023 08:37:04,1685180224255,1,27/05/2023 10:37:04,128616,14,task-ftob,,29751655,5baa72a49d955f000147e406,8853874,,complete,,6471cbde90c166da5a678e1c,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1366x768,1242x545,,Dual-Plural Testing,13,Dual-Plural,Dual Plural Testing,12,Testing02,Testing,hvzr65,1,response,GOI_KE_CHOR_TU_02.png,2047.9019999955271,2034.3869999999952,2047.9019999955271,2047.9019999955271,2034.3869999999952,2047.9019999955271,1,2047.9019999955271,0,0,,Click Response,ResponseA,3,object-86,Testing02,,2,,GOI,_,KE,CHOR,,_02.png,_BLOT.png,,,,,,,,,,GOI_KE_CHOR_BLOT.png,GOI_KE_CHOR_TU_02.png,GOI_KE_CHOR_TA_02.png,,GOI_KE_CHOR_TU_02.png,,,
