Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-3q16,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: ShowProgressBar,Spreadsheet: VERB,Spreadsheet: _,Spreadsheet: NUM,Spreadsheet: NOUN,Spreadsheet: _01,Spreadsheet: _02,Spreadsheet: _BLOT,Spreadsheet: AlienCountA,Spreadsheet: AlienCountB,Spreadsheet: TextResponseA,Spreadsheet: AlienTestCount03,Spreadsheet: Test01Option01,Spreadsheet: Test01Option02,Spreadsheet: Train02Picture01,Spreadsheet: Train02Picture02,Spreadsheet: TextTraining02,Spreadsheet: Test02Picture01,Spreadsheet: Test02Option01,Spreadsheet: Test02Option02,Spreadsheet: ,Spreadsheet: CorrectAnswer,Spreadsheet: TestCorrectAnswer,Manipulation: Spreadsheet,Store: correct,Store: total
1,1685176402584,27/05/2023 08:33:22,1685180002584,1,27/05/2023 10:33:22,128616,14,task-gbr3,,29751612,63eff3ac389f8a4106938c59,8853905,,complete,,6471cdd2c262e778859ca9c7,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1440x900,1426x705,,Noun-Number Testing,4,Singular-Plural,Noun Number Testing,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1685176406853,27/05/2023 08:33:26,1685180006853,1,27/05/2023 10:33:26,128616,14,task-gbr3,,29751612,63eff3ac389f8a4106938c59,8853905,,complete,,6471cdd2c262e778859ca9c7,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1440x900,1426x705,,Noun-Number Testing,4,Singular-Plural,Noun Number Testing,1,Instructions02,Instructions02,g2b1f4,1,continue,,5311,5306,5311,5311,5306,5311,1,5311,0,0,,Click To Continue,Continue Button,2,object-79,Instructions02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1685176408875,27/05/2023 08:33:28,1685180008875,1,27/05/2023 10:33:28,128616,14,task-gbr3,,29751612,63eff3ac389f8a4106938c59,8853905,,complete,,6471cdd2c262e778859ca9c7,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1440x900,1426x705,,Noun-Number Testing,4,Singular-Plural,Noun Number Testing,1,Testing02,Testing 02,hvzr65,1,response,DREE_TA_02.png,2028.000000000001,2022,2028.000000000001,2028.000000000001,2022,2028.000000000001,1,2028.000000000001,0,0,,Click Response,ResponseB,4,object-85,Testing02,,1,,,_,TA,DREE,_01.png,_02.png,,,,,DREE_TA_01.png,DREE_TI_02.png,DREE_TA_02.png,,,,,,,,,DREE_TA_02.png,,,
4,1685176412211,27/05/2023 08:33:32,1685180012211,1,27/05/2023 10:33:32,128616,14,task-gbr3,,29751612,63eff3ac389f8a4106938c59,8853905,,complete,,6471cdd2c262e778859ca9c7,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1440x900,1426x705,,Noun-Number Testing,4,Singular-Plural,Noun Number Testing,2,Testing02,Testing 02,hvzr65,1,response,CHOR_TI_02.png,3341,3325,3341,3341,3325,3341,1,3341,0,0,,Click Response,ResponseB,4,object-85,Testing02,,1,,,_,TI,CHOR,_01.png,_02.png,,,,,CHOR_TI_01.png,CHOR_TU_02.png,CHOR_TI_02.png,,,,,,,,,CHOR_TI_02.png,,,
5,1685176415299,27/05/2023 08:33:35,1685180015299,1,27/05/2023 10:33:35,128616,14,task-gbr3,,29751612,63eff3ac389f8a4106938c59,8853905,,complete,,6471cdd2c262e778859ca9c7,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1440x900,1426x705,,Noun-Number Testing,4,Singular-Plural,Noun Number Testing,3,Testing02,Testing 02,hvzr65,1,response,STOO_TU_02.png,3105,3091,3105,3105,3091,3105,1,3105,0,0,,Click Response,ResponseB,4,object-85,Testing02,,1,,,_,TU,STOO,_01.png,_02.png,,,,,STOO_TU_01.png,STOO_TA_02.png,STOO_TU_02.png,,,,,,,,,STOO_TU_02.png,,,
6,1685176417350,27/05/2023 08:33:37,1685180017350,1,27/05/2023 10:33:37,128616,14,task-gbr3,,29751612,63eff3ac389f8a4106938c59,8853905,,complete,,6471cdd2c262e778859ca9c7,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1440x900,1426x705,,Noun-Number Testing,4,Singular-Plural,Noun Number Testing,4,Testing02,Testing 02,hvzr65,1,response,SNUR_TA_02.png,2064,2057,2064,2064,2057,2064,1,2064,0,0,,Click Response,ResponseA,3,object-86,Testing02,,1,,,_,TA,SNUR,_01.png,_02.png,,,,,SNUR_TA_01.png,SNUR_TA_02.png,SNUR_TU_02.png,,,,,,,,,SNUR_TA_02.png,,,
7,1685176419294,27/05/2023 08:33:39,1685180019294,1,27/05/2023 10:33:39,128616,14,task-gbr3,,29751612,63eff3ac389f8a4106938c59,8853905,,complete,,6471cdd2c262e778859ca9c7,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1440x900,1426x705,,Noun-Number Testing,4,Singular-Plural,Noun Number Testing,5,Testing02,Testing 02,hvzr65,1,response,BLAR_TU_02.png,1952,1938,1952,1952,1938,1952,1,1952,0,0,,Click Response,ResponseA,3,object-86,Testing02,,1,,,_,TU,BLAR,_01.png,_02.png,,,,,BLAR_TU_01.png,BLAR_TU_02.png,BLAR_TI_02.png,,,,,,,,,BLAR_TU_02.png,,,
8,1685176420794,27/05/2023 08:33:40,1685180020794,1,27/05/2023 10:33:40,128616,14,task-gbr3,,29751612,63eff3ac389f8a4106938c59,8853905,,complete,,6471cdd2c262e778859ca9c7,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1440x900,1426x705,,Noun-Number Testing,4,Singular-Plural,Noun Number Testing,6,Testing02,Testing 02,hvzr65,1,response,PHAI_TI_02.png,1514,1503,1514,1514,1503,1514,1,1514,0,0,,Click Response,ResponseA,3,object-86,Testing02,,1,,,_,TI,PHAI,_01.png,_02.png,,,,,PHAI_TI_01.png,PHAI_TI_02.png,PHAI_TA_02.png,,,,,,,,,PHAI_TI_02.png,,,
9,1685176422640,27/05/2023 08:33:42,1685180022640,1,27/05/2023 10:33:42,128616,14,task-gbr3,,29751612,63eff3ac389f8a4106938c59,8853905,,complete,,6471cdd2c262e778859ca9c7,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1440x900,1426x705,,Noun-Number Testing,4,Singular-Plural,Noun Number Testing,7,Testing02,Testing 02,hvzr65,1,response,BLAR_TA_02.png,1857,1856,1857,1857,1856,1857,1,1857,0,0,,Click Response,ResponseB,4,object-85,Testing02,,2,,,_,TA,BLAR,_01.png,_02.png,,,,,BLAR_TA_01.png,BLAR_TU_02.png,BLAR_TA_02.png,,,,,,,,,BLAR_TA_02.png,,,
10,1685176424133,27/05/2023 08:33:44,1685180024133,1,27/05/2023 10:33:44,128616,14,task-gbr3,,29751612,63eff3ac389f8a4106938c59,8853905,,complete,,6471cdd2c262e778859ca9c7,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1440x900,1426x705,,Noun-Number Testing,4,Singular-Plural,Noun Number Testing,8,Testing02,Testing 02,hvzr65,1,response,DREE_TU_02.png,1493,1486,1493,1493,1486,1493,1,1493,0,0,,Click Response,ResponseA,3,object-86,Testing02,,2,,,_,TU,DREE,_01.png,_02.png,,,,,DREE_TU_01.png,DREE_TU_02.png,DREE_TA_02.png,,,,,,,,,DREE_TU_02.png,,,
11,1685176425649,27/05/2023 08:33:45,1685180025649,1,27/05/2023 10:33:45,128616,14,task-gbr3,,29751612,63eff3ac389f8a4106938c59,8853905,,complete,,6471cdd2c262e778859ca9c7,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1440x900,1426x705,,Noun-Number Testing,4,Singular-Plural,Noun Number Testing,9,Testing02,Testing 02,hvzr65,1,response,STOO_TI_02.png,1523,1522,1523,1523,1522,1523,1,1523,0,0,,Click Response,ResponseA,3,object-86,Testing02,,2,,,_,TI,STOO,_01.png,_02.png,,,,,STOO_TI_01.png,STOO_TI_02.png,STOO_TU_02.png,,,,,,,,,STOO_TI_02.png,,,
12,1685176427504,27/05/2023 08:33:47,1685180027504,1,27/05/2023 10:33:47,128616,14,task-gbr3,,29751612,63eff3ac389f8a4106938c59,8853905,,complete,,6471cdd2c262e778859ca9c7,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1440x900,1426x705,,Noun-Number Testing,4,Singular-Plural,Noun Number Testing,10,Testing02,Testing 02,hvzr65,1,response,CHOR_TA_02.png,1856,1855,1856,1856,1855,1856,1,1856,0,0,,Click Response,ResponseA,3,object-86,Testing02,,2,,,_,TA,CHOR,_01.png,_02.png,,,,,CHOR_TA_01.png,CHOR_TA_02.png,CHOR_TI_02.png,,,,,,,,,CHOR_TA_02.png,,,
13,1685176429293,27/05/2023 08:33:49,1685180029293,1,27/05/2023 10:33:49,128616,14,task-gbr3,,29751612,63eff3ac389f8a4106938c59,8853905,,complete,,6471cdd2c262e778859ca9c7,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1440x900,1426x705,,Noun-Number Testing,4,Singular-Plural,Noun Number Testing,11,Testing02,Testing 02,hvzr65,1,response,SNUR_TI_02.png,1791,1789,1791,1791,1789,1791,1,1791,0,0,,Click Response,ResponseB,4,object-85,Testing02,,2,,,_,TI,SNUR,_01.png,_02.png,,,,,SNUR_TI_01.png,SNUR_TA_02.png,SNUR_TI_02.png,,,,,,,,,SNUR_TI_02.png,,,
14,1685176431060,27/05/2023 08:33:51,1685180031060,1,27/05/2023 10:33:51,128616,14,task-gbr3,,29751612,63eff3ac389f8a4106938c59,8853905,,complete,,6471cdd2c262e778859ca9c7,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1440x900,1426x705,,Noun-Number Testing,4,Singular-Plural,Noun Number Testing,12,Testing02,Testing 02,hvzr65,1,response,PHAI_TU_02.png,1768,1753,1768,1768,1753,1768,1,1768,0,0,,Click Response,ResponseB,4,object-85,Testing02,,2,,,_,TU,PHAI,_01.png,_02.png,,,,,PHAI_TU_01.png,PHAI_TI_02.png,PHAI_TU_02.png,,,,,,,,,PHAI_TU_02.png,,,
15,1685176432665,27/05/2023 08:33:52,1685180032665,1,27/05/2023 10:33:52,128616,14,task-gbr3,,29751612,63eff3ac389f8a4106938c59,8853905,,complete,,6471cdd2c262e778859ca9c7,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1440x900,1426x705,,Noun-Number Testing,4,Singular-Plural,Noun Number Testing,13,Testing02,Testing 02,hvzr65,1,response,STOO_TA_02.png,1620,1604,1620,1620,1604,1620,1,1620,0,0,,Click Response,ResponseB,4,object-85,Testing02,,3,,,_,TA,STOO,_01.png,_02.png,,,,,STOO_TA_01.png,STOO_TI_02.png,STOO_TA_02.png,,,,,,,,,STOO_TA_02.png,,,
16,1685176434752,27/05/2023 08:33:54,1685180034752,1,27/05/2023 10:33:54,128616,14,task-gbr3,,29751612,63eff3ac389f8a4106938c59,8853905,,complete,,6471cdd2c262e778859ca9c7,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1440x900,1426x705,,Noun-Number Testing,4,Singular-Plural,Noun Number Testing,14,Testing02,Testing 02,hvzr65,1,response,DREE_TI_02.png,2103,2089,2103,2103,2089,2103,1,2103,0,0,,Click Response,ResponseB,4,object-85,Testing02,,3,,,_,TI,DREE,_01.png,_02.png,,,,,DREE_TI_01.png,DREE_TU_02.png,DREE_TI_02.png,,,,,,,,,DREE_TI_02.png,,,
